cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr6A	28157420	29663849	Chr6A	33036745	34559876	26	0.9957692307692307
Chr6A	119203	165560133	Chr6A	12043	162025191	1377	0.9921176470588235
Chr6A	169123596	174751019	Chr6A	165609821	171327701	29	0.9996896551724139
Chr6A	177010402	237636332	Chr6A	173595297	234020746	202	0.9981930693069307
Chr6A	243810148	244731119	Chr6A	240160916	241003988	3	0.9946666666666667
Chr6A	251103689	255370132	Chr6A	247363235	251615485	8	0.997625
Chr6A	257566273	264313435	Chr6A	253817238	260186769	20	0.9950000000000001
Chr6A	266482395	275860435	Chr6A	262412658	272082869	22	0.9918636363636363
Chr6A	281212087	284721439	Chr6A	277882018	281001194	5	0.9978
Chr6A	288816070	290338890	Chr6A	284366530	288177837	4	0.99525
Chr6A	293863739	319731587	Chr6A	289695174	318189573	28	0.998
Chr6A	323819925	326827584	Chr6A	322313503	325304055	8	0.99725
Chr6A	328915123	332571498	Chr6A	327457777	331097244	6	0.997
Chr6A	334687288	346665213	Chr6A	333148772	345488961	16	0.992875
Chr6A	349035941	349057392	Chr6A	347875634	347902487	3	0.999
Chr6A	354380382	355885891	Chr6A	353316804	354835561	4	0.9970000000000001
Chr6A	357954045	410556392	Chr6A	356808079	408852233	145	0.9962275862068966
Chr6A	425770714	429877566	Chr6A	421127705	425130879	19	0.9983684210526315
Chr6A	442130717	528672379	Chr6A	439238259	526230368	585	0.9981418803418803
Chr6A	531482801	622584375	Chr6A	526262797	619723561	1138	0.9937592267135325
Chr6A	411593066	424786182	Chr6A	426048750	438943498	51	0.9945098039215686
Chr6A	430037973	441760406	Chr6A	409914380	420965513	45	0.995022222222222
