gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	3506180	3507529	+	3506854	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	3453838	3457494	-	3455666	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	3451721	3453658	+	3452689	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	3449672	3451317	+	3450494	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	3369974	3382004	-	3375989	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	3311960	3315764	+	3313862	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	3310245	3311648	-	3310946	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	3303931	3308971	+	3306451	0.996	0.996
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	3291271	3294561	-	3292916	1.0	0.998
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	3256599	3257422	-	3257010	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	3180969	3181355	-	3181162	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	3156433	3158688	+	3157560	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	2738277	2741680	-	2739978	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	2726819	2728991	-	2727905	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	2722559	2724260	+	2723409	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	2719851	2720893	-	2720372	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	2694489	2696162	-	2695325	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	2686309	2687352	-	2686830	1.0	1.0
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	2682930	2685159	-	2684044	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	2678173	2681116	-	2679644	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	2675193	2675603	+	2675398	0.992	0.992
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	2635151	2636732	-	2635941	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	2632226	2634590	-	2633408	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	2621909	2625071	-	2623490	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	2611450	2612184	+	2611817	1.0	0.998
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	2593628	2597688	-	2595658	1.0	1.0
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	2570265	2574982	+	2572623	1.0	1.0
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	2554261	2558114	+	2556187	1.0	1.0
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	2548246	2552941	+	2550593	1.0	1.0
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	2541708	2546392	+	2544050	1.0	1.0
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	2536139	2540583	+	2538361	1.0	1.0
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	2521920	2525632	-	2523776	1.0	1.0
gene:TraesCS4D03G0004900	Chr4D	1397353	1399554	-	1398453	Chr4D	2516217	2518418	+	2517317	1.0	1.0
gene:TraesCS4D03G0005000	Chr4D	1400675	1404459	-	1402567	Chr4D	2511312	2515096	+	2513204	1.0	0.999
gene:TraesCS4D03G0005100	Chr4D	1406011	1408464	+	1407237	Chr4D	2507307	2509760	-	2508533	1.0	0.999
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	2085886	2091064	-	2088475	1.0	1.0
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	2110894	2113461	+	2112177	1.0	1.0
