gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	850541	853366	+	851953	1.0	1.0
gene:TraesCS3B03G0001500	Chr3B	475201	476475	-	475838	Chr3B	801270	802544	+	801907	1.0	1.0
gene:TraesCS3B03G0001600	Chr3B	478359	479180	+	478769	Chr3B	797987	798808	-	798397	1.0	0.998
gene:TraesCS3B03G0001700	Chr3B	491565	493664	-	492614	Chr3B	781608	783707	+	782657	1.0	1.0
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	657669	659810	-	658739	1.0	1.0
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	417678	418234	-	417956	1.0	1.0
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	410017	415111	+	412564	1.0	1.0
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1130584	1134463	-	1132523	1.0	1.0
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1417881	1422461	+	1420171	1.0	1.0
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1453883	1457175	-	1455529	1.0	1.0
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1522499	1525632	-	1524065	1.0	1.0
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1568816	1573099	-	1570957	1.0	1.0
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1576686	1578285	+	1577485	1.0	1.0
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2310924	2312352	-	2311638	1.0	1.0
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	2300661	2303108	+	2301884	1.0	1.0
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	2288047	2289822	+	2288934	1.0	0.999
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	2117147	2121338	-	2119242	0.992	0.973
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	2153204	2156031	-	2154617	0.998	0.971
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2161458	2164530	-	2162994	1.0	0.964
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	2220877	2223180	-	2222028	1.0	0.992
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2230104	2238589	+	2234346	0.995	0.986
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2246637	2249706	+	2248171	1.0	0.995
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2258201	2261057	+	2259629	0.993	0.99
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2274400	2276560	+	2275480	1.0	0.995
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	2068471	2070704	-	2069587	0.99	0.96
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	2035217	2037668	-	2036442	0.979	0.973
gene:TraesCS3B03G0007600	Chr3B	2550258	2551285	-	2550771	Chr3B	2026123	2027150	+	2026636	1.0	0.994
gene:TraesCS3B03G0007800	Chr3B	2560091	2561590	+	2560840	Chr3B	2015619	2017117	-	2016368	0.999	0.996
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	1965863	1969133	-	1967498	1.0	0.997
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	1954511	1958148	-	1956329	1.0	0.994
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	1948620	1950166	-	1949393	1.0	0.987
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	1945067	1946303	-	1945685	0.987	0.976
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	1935825	1939460	-	1937642	1.0	0.997
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	1929618	1934571	-	1932094	0.973	0.933
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	4258303	4260489	-	4259396	0.983	0.902
