cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr3D	163980	116955327	Chr3D	78861	120022314	1326	0.9965595776772248
Chr3D	119094314	145655212	Chr3D	122158687	148759720	158	0.999006329113924
Chr3D	147725835	194192900	Chr3D	150640208	196717675	254	0.998732283464567
Chr3D	197544325	200969144	Chr3D	200060483	203494257	5	1.0
Chr3D	203187169	203224239	Chr3D	205804161	205840011	4	0.99925
Chr3D	207531742	214535149	Chr3D	210171398	217156270	11	0.9991818181818182
Chr3D	216957444	220088873	Chr3D	219574741	222674659	6	1.0
Chr3D	226016244	232933791	Chr3D	228609269	235547478	13	0.9939230769230769
Chr3D	237090980	258632836	Chr3D	239720594	261476700	40	0.996275
Chr3D	260879965	440598505	Chr3D	263728093	443081532	1171	0.9989000853970965
Chr3D	473703922	478315381	Chr3D	475381075	480008517	40	0.9989250000000001
Chr3D	510319269	619489515	Chr3D	513309045	619560157	1402	0.9978659058487873
Chr3D	440757574	473206111	Chr3D	480496306	513190040	306	0.9986111111111111
Chr3D	478386279	492833467	Chr3D	460715602	475306929	135	0.9992962962962963
Chr3D	495347019	509889213	Chr3D	443442897	458097585	165	0.9993454545454545
Chr3D	612044176	613065924	Chr3D	607058393	608426397	10	0.9734
