cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	17984	141386277	1394	0.9986169296987086
Chr4D	143939177	159173700	Chr4D	144065742	159348760	17	0.9997058823529412
Chr4D	163710731	183649096	Chr4D	163871175	183764297	27	0.9984814814814816
Chr4D	188969484	192971731	Chr4D	189941870	193955929	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	196231149	199819941	7	0.9992857142857144
Chr4D	201663396	212424003	Chr4D	202872837	213921058	27	0.9996666666666668
Chr4D	214566503	228344802	Chr4D	216089394	229857357	22	0.9988636363636364
Chr4D	230503918	238850566	Chr4D	232088239	240476673	11	0.9994545454545456
Chr4D	241150325	249170093	Chr4D	242733336	250682095	18	0.9948333333333332
Chr4D	251744642	256746015	Chr4D	253264946	258298314	7	0.999
Chr4D	259082246	261473317	Chr4D	260623700	263030005	6	1.0
Chr4D	264155329	268258812	Chr4D	265726358	269857813	7	0.9984285714285714
Chr4D	270831155	284417863	Chr4D	272430312	286032827	19	0.9956315789473684
Chr4D	286726699	329466878	Chr4D	288329766	331164473	221	0.9990361990950224
Chr4D	331779306	375686787	Chr4D	333484450	377571067	302	0.9989072847682118
Chr4D	377775997	410310201	Chr4D	379636028	412298797	234	0.998880341880342
Chr4D	412602740	505667658	Chr4D	414786039	508992202	1082	0.998916820702403
