cs_chr	Landmark_tgt_chr	n_anchors	Landmark_mean_anchor_gap_Mb	Landmark_interp_type	n_segments	Landmark_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A	3985	0.093	linear+pchip_inverted+linear+linear	4	0.932
Chr1B	Chr1B+Chr1B+Chr1B	4244	0.199	linear+linear+linear	3	0.899
Chr1D	Chr1D+Chr1D+Chr1D	4266	0.113	linear+linear+linear	3	0.959
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5459	0.18	linear+pchip_inverted+linear+linear+linear	5	0.92
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5406	0.098	linear+linear+linear+linear+linear	5	0.903
Chr2D	Chr2D+Chr2D	5674	0.089	linear+linear	2	0.969
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4914	0.558	linear+pchip_inverted+linear+linear+linear	5	0.956
Chr3B	Chr3B+Chr3B+Chr3B	5280	0.102	linear+linear+linear	3	0.904
Chr3D	Chr3D+Chr3D+Chr3D	5049	0.123	linear+pchip_inverted+linear	3	0.97
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4276	0.555	linear+linear+linear+linear+linear+linear	6	0.914
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3643	0.364	linear+linear+linear+linear	4	0.879
Chr4D	Chr4D	3409	0.148	linear	1	0.958
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5212	0.135	linear+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	6	0.957
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5155	0.268	linear+linear+linear+linear+linear+linear+linear	7	0.894
Chr5D	Chr5D+Chr5D+Chr5D+Chr5D+Chr5D+Chr5D	5380	0.081	linear+linear+linear+linear+linear+linear	6	0.971
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A	3749	0.191	linear+linear+pchip_inverted+pchip_inverted	4	0.941
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3956	0.281	linear+linear+pchip+linear+linear+linear+linear+linear+pchip_inverted+pchip_inverted	10	0.853
Chr6D	Chr6D+Chr6D	3830	0.095	linear+linear	2	0.959
Chr7A	Chr7A+Chr7A	5085	0.107	linear+linear	2	0.941
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4350	0.241	linear+linear+linear+linear+linear	5	0.898
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D+Chr7D	5222	0.072	linear+linear+linear+linear+linear	5	0.969
