gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	86078	87232	-	86655	1.0	0.999
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	192522	195748	+	194135	1.0	1.0
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	195919	197543	-	196731	1.0	1.0
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	198769	200087	-	199428	1.0	1.0
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	210696	215312	+	213004	1.0	1.0
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	470853	479873	+	475363	1.0	1.0
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	533880	534515	-	534197	1.0	1.0
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	736155	742223	-	739189	1.0	1.0
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	749344	754580	-	751962	1.0	0.999
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	883423	883949	+	883686	1.0	1.0
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	893954	897377	+	895665	0.997	0.997
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	903077	903851	+	903464	1.0	1.0
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	927795	929128	-	928461	1.0	1.0
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1069079	1069474	+	1069276	1.0	0.997
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1140257	1142101	-	1141179	1.0	1.0
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1213335	1216559	+	1214947	1.0	0.999
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1511119	1511593	-	1511356	1.0	1.0
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	1717340	1719958	+	1718649	1.0	1.0
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	1869868	1871731	-	1870799	1.0	1.0
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	1873503	1882065	-	1877784	1.0	0.999
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	1884588	1893972	-	1889280	1.0	1.0
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	1902800	1905707	-	1904253	1.0	1.0
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	1906842	1908137	-	1907489	1.0	1.0
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2032903	2037734	-	2035318	1.0	1.0
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	2142732	2149760	-	2146246	1.0	1.0
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	2394227	2403789	+	2399008	1.0	1.0
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	2404749	2409702	-	2407225	1.0	0.999
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	2538834	2542302	-	2540568	1.0	1.0
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	2547742	2548876	-	2548309	1.0	0.998
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	2613342	2614639	+	2613990	1.0	1.0
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	2629736	2631393	-	2630564	1.0	1.0
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	2636305	2637730	-	2637017	1.0	1.0
gene:TraesCS4A03G0005100	Chr4A	2731327	2733151	+	2732239	Chr4A	2737580	2739404	+	2738492	1.0	1.0
gene:TraesCS4A03G0005200	Chr4A	2767289	2768680	+	2767984	Chr4A	2783728	2785119	+	2784423	1.0	1.0
gene:TraesCS4A03G0005400	Chr4A	2778918	2779295	-	2779106	Chr4A	2795253	2795630	-	2795441	1.0	1.0
gene:TraesCS4A03G0005500	Chr4A	2783068	2789950	-	2786509	Chr4A	2798991	2805784	-	2802387	0.978	0.978
gene:TraesCS4A03G0005700	Chr4A	2896900	2897945	-	2897422	Chr4A	2917957	2919043	-	2918500	1.0	0.957
gene:TraesCS4A03G0005800	Chr4A	2930585	2932852	+	2931718	Chr4A	2949413	2951680	+	2950546	1.0	0.998
gene:TraesCS4A03G0006100	Chr4A	2934653	2937212	+	2935932	Chr4A	2953620	2956182	+	2954901	1.0	1.0
gene:TraesCS4A03G0006200	Chr4A	2936960	2940182	-	2938571	Chr4A	2955930	2959160	-	2957545	1.0	0.996
gene:TraesCS4A03G0006300	Chr4A	2942998	2949575	-	2946286	Chr4A	2961985	2969459	-	2965722	0.999	0.998
gene:TraesCS4A03G0006700	Chr4A	2964010	2964348	+	2964179	Chr4A	2992739	2993077	+	2992908	1.0	1.0
gene:TraesCS4A03G0006900	Chr4A	2973914	2984600	-	2979257	Chr4A	3004028	3014830	-	3009429	1.0	0.998
gene:TraesCS4A03G0007100	Chr4A	3050569	3055204	-	3052886	Chr4A	3082200	3086841	-	3084520	1.0	0.997
gene:TraesCS4A03G0007300	Chr4A	3066937	3070613	-	3068775	Chr4A	3100010	3103686	-	3101848	1.0	0.999
gene:TraesCS4A03G0007500	Chr4A	3096625	3101109	-	3098867	Chr4A	3142026	3146533	-	3144279	1.0	0.998
gene:TraesCS4A03G0007600	Chr4A	3101459	3105097	-	3103278	Chr4A	3146883	3150537	-	3148710	0.999	0.993
gene:TraesCS4A03G0007700	Chr4A	3107379	3109574	-	3108476	Chr4A	3152927	3155156	-	3154041	0.976	0.929
gene:TraesCS4A03G0008000	Chr4A	3121834	3127155	-	3124494	Chr4A	3167815	3173067	-	3170441	1.0	0.999
gene:TraesCS4A03G0008100	Chr4A	3129258	3135283	+	3132270	Chr4A	3175208	3181245	+	3178226	1.0	0.998
gene:TraesCS4A03G0008200	Chr4A	3134254	3140594	-	3137424	Chr4A	3180216	3186870	-	3183543	1.0	0.997
gene:TraesCS4A03G0008300	Chr4A	3205933	3206955	+	3206444	Chr4A	3252301	3253323	+	3252812	1.0	0.998
gene:TraesCS4A03G0008400	Chr4A	3238765	3239608	+	3239186	Chr4A	3285204	3286047	+	3285625	1.0	1.0
gene:TraesCS4A03G0008600	Chr4A	3261415	3263213	+	3262314	Chr4A	3315125	3316923	+	3316024	1.0	1.0
