gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	369355	373804	-	371579	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	403432	407149	+	405290	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	498304	499142	+	498723	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	526933	530797	-	528865	1.0	0.996	rearrangement:Chr7D_block1
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	532899	534192	-	533545	1.0	0.997	rearrangement:Chr7D_block1
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	656295	660195	-	658245	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	886675	889626	-	888150	1.0	0.989	rearrangement:Chr7D_block1
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1175256	1181455	-	1178355	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1208550	1212007	-	1210278	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1269481	1270668	-	1270074	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1281317	1284293	-	1282805	0.992	0.99	rearrangement:Chr7D_block1
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1318043	1331014	-	1324528	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1377645	1379261	-	1378453	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1448265	1449769	-	1449017	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1450771	1455784	-	1453277	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1498298	1512731	+	1505514	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	1515326	1516534	+	1515930	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	1547463	1552913	+	1550188	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	1603316	1608643	-	1605979	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	1749700	1751338	+	1750519	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	1804300	1805493	-	1804896	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	1811717	1813066	-	1812391	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	1819713	1820444	-	1820078	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005500	Chr7D	1648975	1654512	-	1651743	Chr7D	1830541	1836078	-	1833309	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005800	Chr7D	1673923	1675253	+	1674588	Chr7D	1855488	1856818	+	1856153	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0005900	Chr7D	1812284	1819521	+	1815902	Chr7D	1993618	2000853	+	1997235	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0006000	Chr7D	1859225	1861790	-	1860507	Chr7D	2040559	2043124	-	2041841	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007000	Chr7D	2228806	2234143	+	2231474	Chr7D	2403132	2408469	+	2405800	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007200	Chr7D	2250873	2256744	+	2253808	Chr7D	2424913	2430784	+	2427848	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007300	Chr7D	2256864	2262070	-	2259467	Chr7D	2430904	2436110	-	2433507	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007400	Chr7D	2264975	2273161	+	2269068	Chr7D	2439015	2447201	+	2443108	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007600	Chr7D	2278478	2284668	-	2281573	Chr7D	2452518	2458649	-	2455583	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007800	Chr7D	2290415	2291827	-	2291121	Chr7D	2464212	2465624	-	2464918	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0007900	Chr7D	2327893	2330761	-	2329327	Chr7D	2501406	2504306	-	2502856	1.0	0.987	rearrangement:Chr7D_block1
gene:TraesCS7D03G0008100	Chr7D	2339553	2341226	-	2340389	Chr7D	2512846	2514519	-	2513682	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0008300	Chr7D	2344023	2345195	+	2344609	Chr7D	2517316	2518488	+	2517902	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0008400	Chr7D	2379429	2390488	-	2384958	Chr7D	2552551	2563369	-	2557960	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0008800	Chr7D	2434315	2435737	+	2435026	Chr7D	2606260	2607682	+	2606971	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0009200	Chr7D	2527421	2532947	-	2530184	Chr7D	2695533	2701059	-	2698296	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0009300	Chr7D	2533886	2537181	-	2535533	Chr7D	2701998	2705293	-	2703645	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0009400	Chr7D	2540503	2541469	+	2540986	Chr7D	2708542	2709508	+	2709025	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0009500	Chr7D	2542055	2546243	-	2544149	Chr7D	2710094	2714282	-	2712188	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0009700	Chr7D	2616995	2622421	+	2619708	Chr7D	2783874	2789300	+	2786587	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0010000	Chr7D	2635314	2645413	+	2640363	Chr7D	2802193	2812292	+	2807242	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0010100	Chr7D	2645699	2651710	-	2648704	Chr7D	2812578	2818613	-	2815595	1.0	0.989	rearrangement:Chr7D_block1
gene:TraesCS7D03G0010300	Chr7D	2699940	2703571	+	2701755	Chr7D	2866174	2869829	+	2868001	1.0	0.992	rearrangement:Chr7D_block1
gene:TraesCS7D03G0010400	Chr7D	2719052	2723210	+	2721131	Chr7D	2885267	2889425	+	2887346	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0010500	Chr7D	2732001	2735374	-	2733687	Chr7D	2898090	2901463	-	2899776	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0011000	Chr7D	2812476	2817119	-	2814797	Chr7D	2978290	2982933	-	2980611	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0011100	Chr7D	2820284	2820931	-	2820607	Chr7D	2986100	2986747	-	2986423	1.0	0.981	rearrangement:Chr7D_block1
