gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	239629	240978	-	240303	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	289388	293044	+	291216	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	293224	295161	-	294192	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	295565	297210	-	296387	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	305044	309521	+	307282	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	365142	377172	+	371157	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	432342	436146	-	434244	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	436458	437861	+	437159	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	439135	444181	-	441658	0.999	0.999
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	453226	456516	+	454871	1.0	0.998
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	487195	488018	+	487606	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	561682	562068	+	561875	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	583802	586057	-	584929	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	998310	1001713	+	1000011	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	1010942	1013114	+	1012028	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1015673	1017374	-	1016523	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1019040	1020082	+	1019561	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	1043407	1045080	+	1044243	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	1052199	1053182	+	1052690	0.938	0.938
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	1054332	1056561	+	1055446	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	1058375	1061314	+	1059844	0.997	0.997
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	1063899	1064312	-	1064105	1.0	1.0
