gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	1145786	1146439	+	1146112	1.0	1.0
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	1136997	1137452	-	1137224	1.0	1.0
gene:TraesCS6D03G0001000	Chr6D	88938	95787	-	92362	Chr6D	1094655	1101505	+	1098080	1.0	0.999
gene:TraesCS6D03G0001500	Chr6D	207420	208955	+	208187	Chr6D	981500	983035	-	982267	1.0	1.0
gene:TraesCS6D03G0001700	Chr6D	219614	221286	-	220450	Chr6D	969163	970835	+	969999	1.0	1.0
gene:TraesCS6D03G0001900	Chr6D	287212	289249	+	288230	Chr6D	901211	903248	-	902229	1.0	1.0
gene:TraesCS6D03G0002300	Chr6D	386000	388713	+	387356	Chr6D	801719	804432	-	803075	1.0	1.0
gene:TraesCS6D03G0002600	Chr6D	395648	398850	-	397249	Chr6D	791582	794784	+	793183	1.0	1.0
gene:TraesCS6D03G0002800	Chr6D	419600	421134	-	420367	Chr6D	769340	770874	+	770107	1.0	1.0
gene:TraesCS6D03G0002900	Chr6D	421647	422807	-	422227	Chr6D	767667	768827	+	768247	1.0	1.0
gene:TraesCS6D03G0003600	Chr6D	487116	490616	-	488866	Chr6D	699853	703353	+	701603	1.0	1.0
gene:TraesCS6D03G0003700	Chr6D	497323	499555	-	498439	Chr6D	690914	693146	+	692030	1.0	1.0
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	588863	592103	+	590483	1.0	0.998
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	514201	514623	+	514412	1.0	1.0
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	391298	392554	-	391926	1.0	1.0
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	388225	390620	-	389422	1.0	1.0
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	229826	230089	-	229957	1.0	1.0
gene:TraesCS6D03G0006700	Chr6D	1060930	1063103	+	1062016	Chr6D	126919	129092	-	128005	1.0	1.0
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	1782531	1784180	+	1783355	1.0	1.0
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	1821496	1825702	-	1823599	1.0	1.0
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	1829436	1839697	-	1834566	1.0	1.0
gene:TraesCS6D03G0007300	Chr6D	1436172	1441156	+	1438664	Chr6D	1853906	1858890	+	1856398	1.0	1.0
gene:TraesCS6D03G0007500	Chr6D	1479620	1482804	+	1481212	Chr6D	1897368	1900552	+	1898960	1.0	1.0
gene:TraesCS6D03G0007600	Chr6D	1498848	1508542	-	1503695	Chr6D	1916480	1926175	-	1921327	1.0	1.0
gene:TraesCS6D03G0007800	Chr6D	1529313	1530649	-	1529981	Chr6D	1946946	1948282	-	1947614	1.0	1.0
gene:TraesCS6D03G0008200	Chr6D	1562254	1562682	-	1562468	Chr6D	1979881	1980309	-	1980095	1.0	1.0
