gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS6A03G0013300	Chr6A	3493875	3497254	-	3495564	Chr6A	8408407	8411787	+	8410097	1.0	0.995
gene:TraesCS6A03G0013400	Chr6A	3501820	3502695	-	3502257	Chr6A	8397198	8398074	+	8397636	1.0	0.996
gene:TraesCS6A03G0013500	Chr6A	3505130	3509572	-	3507351	Chr6A	8391002	8394787	+	8392894	1.0	0.995
gene:TraesCS6A03G0013700	Chr6A	3526852	3527448	+	3527150	Chr6A	8377169	8377765	-	8377467	1.0	1.0
gene:TraesCS6A03G0013800	Chr6A	3528505	3529406	+	3528955	Chr6A	8375266	8376113	-	8375689	0.94	0.937
gene:TraesCS6A03G0014100	Chr6A	3568117	3572740	+	3570428	Chr6A	8207904	8212559	-	8210231	1.0	0.97
gene:TraesCS6A03G0014200	Chr6A	3576627	3578939	+	3577783	Chr6A	8201716	8204030	-	8202873	1.0	0.994
gene:TraesCS6A03G0014800	Chr6A	3702665	3706690	+	3704677	Chr6A	8083895	8087986	-	8085940	1.0	0.996
gene:TraesCS6A03G0015000	Chr6A	3729503	3735623	+	3732563	Chr6A	8047547	8053668	-	8050607	1.0	0.996
gene:TraesCS6A03G0015200	Chr6A	3748307	3752517	+	3750412	Chr6A	8040676	8044886	-	8042781	1.0	0.996
gene:TraesCS6A03G0015300	Chr6A	3778599	3780690	+	3779644	Chr6A	8028150	8030247	-	8029198	1.0	0.982
gene:TraesCS6A03G0015400	Chr6A	3791624	3795065	+	3793344	Chr6A	8013860	8017180	-	8015520	1.0	0.996
gene:TraesCS6A03G0015500	Chr6A	3983778	3984395	+	3984086	Chr6A	7842241	7842858	-	7842549	1.0	0.998
gene:TraesCS6A03G0015600	Chr6A	4015558	4016051	+	4015804	Chr6A	7810337	7810830	-	7810583	1.0	0.991
gene:TraesCS6A03G0015800	Chr6A	4066078	4066922	+	4066500	Chr6A	7747366	7748213	-	7747789	1.0	0.991
gene:TraesCS6A03G0016600	Chr6A	4307131	4307625	+	4307378	Chr6A	7526314	7526808	-	7526561	1.0	0.983
gene:TraesCS6A03G0017000	Chr6A	4373883	4374647	-	4374265	Chr6A	7458945	7459709	+	7459327	1.0	0.996
gene:TraesCS6A03G0017500	Chr6A	4465472	4467836	+	4466654	Chr6A	7372773	7375152	-	7373962	1.0	0.994
