gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	1022172	1027496	+	1024834	1.0	0.99
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	1032705	1036882	-	1034793	0.958	0.932
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	1087343	1087825	-	1087584	1.0	0.977
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	1164935	1170038	+	1167486	0.982	0.962
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	1183931	1185642	+	1184786	1.0	0.992
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	1189112	1193833	-	1191472	0.983	0.98
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	1303046	1304196	-	1303621	0.998	0.994
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	1309441	1312826	+	1311133	0.999	0.977
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	1318481	1319326	+	1318903	0.995	0.915
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	1390631	1392598	+	1391614	1.0	0.999
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	1393308	1397362	-	1395335	0.994	0.986
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	1404322	1406629	+	1405475	1.0	0.987
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	1417577	1446081	-	1431829	0.923	0.915
gene:TraesCS2B03G0004100	Chr2B	593205	600260	+	596732	Chr2B	1592128	1599663	+	1595895	1.0	0.991
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	1776520	1777488	+	1777004	1.0	0.998
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	1791358	1791912	+	1791635	0.92	0.908
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	1801842	1808805	+	1805323	0.984	0.974
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	1898560	1899513	-	1899036	1.0	0.959
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	1901084	1901691	-	1901387	1.0	0.985
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	1911743	1913012	+	1912377	1.0	0.955
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	1926751	1927789	-	1927270	0.995	0.972
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	2070180	2071725	-	2070952	0.997	0.976
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	2076842	2086468	-	2081655	1.0	0.998
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	2487345	2487747	-	2487546	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	2670603	2672284	-	2671443	0.998	0.994
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	2676382	2678838	-	2677610	1.0	0.998
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	2696015	2701476	+	2698745	0.999	0.996
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	2715952	2716689	-	2716320	1.0	0.991
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	2922700	2924414	-	2923557	1.0	0.993
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	2943331	2946325	+	2944828	1.0	0.984
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	2951323	2962001	-	2956662	0.976	0.968
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	2996145	2996585	+	2996365	1.0	1.0
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	4638725	4639612	-	4639168	1.0	0.99
gene:TraesCS2B03G0012600	Chr2B	3595745	3613268	+	3604506	Chr2B	3697039	3725235	+	3711137	0.981	0.958
