gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity	segment
gene:TraesCS3B03G0031900	Chr3B	10984123	10991077	+	10987600	Chr3B	4778214	4785179	+	4781696	0.999	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033000	Chr3B	11047699	11048402	-	11048050	Chr3B	4827926	4828629	-	4828277	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033200	Chr3B	11064590	11065892	-	11065241	Chr3B	4851091	4852407	-	4851749	0.996	0.964	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034500	Chr3B	11323937	11324951	+	11324444	Chr3B	5159346	5160361	+	5159853	0.996	0.985	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034700	Chr3B	11336624	11338440	-	11337532	Chr3B	5171426	5173241	-	5172333	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034800	Chr3B	11342223	11343646	-	11342934	Chr3B	5177024	5178447	-	5177735	1.0	0.999	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035000	Chr3B	11358679	11367360	+	11363019	Chr3B	5231486	5240149	+	5235817	0.994	0.992	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035200	Chr3B	11376630	11380418	+	11378524	Chr3B	5249253	5252810	+	5251031	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035700	Chr3B	11460688	11462059	+	11461373	Chr3B	5353394	5354765	+	5354079	1.0	0.994	rearrangement:Chr3B_block1
gene:TraesCS3B03G0036500	Chr3B	11587168	11589299	+	11588233	Chr3B	5469905	5472036	+	5470970	1.0	0.996	rearrangement:Chr3B_block1
gene:TraesCS3B03G0073800	Chr3B	20045694	20048185	-	20046939	Chr3B	18790333	18792911	-	18791622	0.989	0.922	rearrangement:Chr3B_block2
gene:TraesCS3B03G0074100	Chr3B	20068534	20070088	+	20069311	Chr3B	18813335	18814889	+	18814112	1.0	1.0	rearrangement:Chr3B_block2
gene:TraesCS3B03G0074200	Chr3B	20223862	20225255	-	20224558	Chr3B	19021953	19023348	-	19022650	0.998	0.995	rearrangement:Chr3B_block2
gene:TraesCS3B03G0074600	Chr3B	20483628	20484230	+	20483929	Chr3B	19301252	19301854	+	19301553	1.0	0.996	rearrangement:Chr3B_block2
gene:TraesCS3B03G0075700	Chr3B	20658901	20659776	-	20659338	Chr3B	19340803	19341677	+	19341240	0.998	0.985	rearrangement:Chr3B_block2
gene:TraesCS3B03G0075600	Chr3B	20657356	20668905	+	20663130	Chr3B	19385558	19397167	+	19391362	1.0	0.979	rearrangement:Chr3B_block2
gene:TraesCS3B03G0076000	Chr3B	20683949	20684936	-	20684442	Chr3B	19441444	19442431	-	19441937	1.0	0.998	rearrangement:Chr3B_block2
gene:TraesCS3B03G0076400	Chr3B	21371734	21372855	-	21372294	Chr3B	20130516	20131637	-	20131076	1.0	0.993	rearrangement:Chr3B_block2
gene:TraesCS3B03G0081100	Chr3B	22606616	22612939	-	22609777	Chr3B	21513278	21519610	-	21516444	1.0	0.994	rearrangement:Chr3B_block2
gene:TraesCS3B03G0081300	Chr3B	22710734	22714527	+	22712630	Chr3B	21609433	21613002	+	21611217	1.0	0.998	rearrangement:Chr3B_block2
gene:TraesCS3B03G0081600	Chr3B	22835166	22836945	-	22836055	Chr3B	21731718	21733474	-	21732596	0.986	0.981	rearrangement:Chr3B_block2
