gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	43822	47686	-	45754	1.0	0.999
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	54201	62058	-	58129	1.0	1.0
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	123531	125564	+	124547	1.0	0.999
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	125679	130349	-	128014	0.999	0.999
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	131357	132623	+	131990	1.0	0.999
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	231304	233471	+	232387	1.0	1.0
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	237722	238821	+	238271	1.0	1.0
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	239236	239874	+	239555	1.0	1.0
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	265621	267531	+	266576	0.932	0.927
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	269392	271175	+	270283	1.0	1.0
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	272128	273698	+	272913	1.0	1.0
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	275657	278070	-	276863	1.0	1.0
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	295281	300497	+	297889	1.0	1.0
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	429219	433304	+	431261	1.0	1.0
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	433693	439094	-	436393	1.0	1.0
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	610200	613703	+	611951	1.0	1.0
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	647260	649083	+	648171	1.0	1.0
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	678948	679650	-	679299	1.0	1.0
gene:TraesCS7B03G0003800	Chr7B	778870	779724	-	779297	Chr7B	787969	788823	-	788396	1.0	1.0
gene:TraesCS7B03G0003900	Chr7B	797978	798910	+	798444	Chr7B	807084	808016	+	807550	1.0	1.0
gene:TraesCS7B03G0004600	Chr7B	844925	847126	+	846025	Chr7B	853726	855927	+	854826	1.0	0.999
gene:TraesCS7B03G0004700	Chr7B	900491	909163	-	904827	Chr7B	894791	905331	-	900061	1.0	1.0
gene:TraesCS7B03G0005100	Chr7B	1038544	1039671	+	1039107	Chr7B	1035123	1036250	+	1035686	1.0	1.0
gene:TraesCS7B03G0005400	Chr7B	1055416	1057852	-	1056634	Chr7B	1051995	1054431	-	1053213	1.0	1.0
gene:TraesCS7B03G0005500	Chr7B	1082873	1087104	-	1084988	Chr7B	1079457	1083688	-	1081572	1.0	1.0
gene:TraesCS7B03G0005300	Chr7B	1051386	1121512	-	1086449	Chr7B	1047965	1118093	-	1083029	1.0	1.0
gene:TraesCS7B03G0005600	Chr7B	1170334	1171762	+	1171048	Chr7B	1166921	1168349	+	1167635	1.0	1.0
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	1209745	1215590	-	1212667	1.0	1.0
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	1260749	1268627	-	1264688	1.0	1.0
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr7B	1275626	1282605	-	1279115	1.0	1.0
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr7B	1283281	1289614	-	1286447	1.0	1.0
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr7B	1312752	1313483	+	1313117	1.0	1.0
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr7B	1325574	1325963	+	1325768	1.0	1.0
