gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	93213	94348	+	93780	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	101600	103438	+	102519	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	103806	107726	-	105766	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	108170	111673	-	109921	1.0	0.997
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	114652	121813	+	118232	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	128458	130247	+	129352	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	134986	139116	+	137051	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	139530	142552	-	141041	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	145662	148621	-	147141	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	151208	153870	-	152539	1.0	0.999
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	165454	171430	-	168442	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	190122	193399	+	191760	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	244126	255902	-	250014	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	459178	471634	-	465406	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	481789	483846	-	482817	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	490937	494906	-	492921	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	503118	509873	+	506495	1.0	0.988
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	514362	518851	-	516606	0.999	0.974
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	568650	569768	-	569209	1.0	0.997
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	751064	753307	-	752185	0.993	0.978
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	823258	824418	+	823838	1.0	0.993
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1055751	1059345	-	1057548	0.996	0.986
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1944958	1952506	+	1948732	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1955019	1960977	-	1957998	1.0	1.0
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1974342	1980809	+	1977575	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2013664	2016656	+	2015160	1.0	1.0
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	2018010	2018930	-	2018470	0.985	0.985
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2091528	2094629	-	2093078	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2098633	2100296	+	2099464	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2103186	2104739	-	2103962	0.953	0.953
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2110841	2114362	-	2112601	1.0	0.99
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2204777	2206245	-	2205511	1.0	0.997
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2258763	2259746	+	2259254	1.0	0.987
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2276429	2277412	+	2276920	1.0	0.994
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2342915	2343811	+	2343363	1.0	0.988
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2351849	2352745	+	2352297	1.0	0.994
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2366144	2366698	+	2366421	1.0	0.998
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2380247	2383484	+	2381865	1.0	0.992
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2382703	2383024	-	2382863	1.0	0.995
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2389464	2390069	+	2389766	1.0	0.998
gene:TraesCS1D03G0011300	Chr1D	3060050	3060268	+	3060159	Chr1D	2605556	2605774	+	2605665	1.0	0.926
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	2558778	2558996	+	2558887	1.0	0.995
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2633713	2634325	+	2634019	0.996	0.944
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	2643906	2644973	-	2644439	1.0	0.993
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	2643906	2644973	-	2644439	1.0	0.992
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	4301628	4302912	-	4302270	0.996	0.96
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2726430	2731560	+	2728995	1.0	0.993
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2769360	2770641	+	2770000	1.0	0.977
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	3002020	3002451	+	3002235	1.0	0.965
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	3015491	3016103	+	3015797	1.0	0.996
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	3021157	3023435	-	3022296	1.0	0.995
