cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr3D	21214157	116955327	Chr3D	32451240	139234134	964	0.9994325726141079
Chr3D	119094314	145655212	Chr3D	141366385	167945226	160	0.999375
Chr3D	147725835	194192900	Chr3D	170053088	217132427	262	0.9995916030534352
Chr3D	197544325	200969144	Chr3D	220484278	223902039	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	226411865	226447917	4	1.0
Chr3D	207531742	214535149	Chr3D	230745744	237732164	11	0.9998181818181819
Chr3D	216957444	220088873	Chr3D	240143276	243254757	6	1.0
Chr3D	226016244	232933791	Chr3D	249390027	256294399	13	0.9998461538461538
Chr3D	235055553	258632836	Chr3D	258408723	281919276	42	0.9997380952380953
Chr3D	260879965	492833467	Chr3D	284154927	515777854	1669	0.9995308568004794
Chr3D	495347019	571894878	Chr3D	518755096	595184276	873	0.9993001145475372
Chr3D	574320863	619489515	Chr3D	595328927	640210802	712	0.9969578651685395
