cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr3B	10987600	11588233	Chr3B	4781696	5470970	10	0.992
Chr3B	20046939	32853510	Chr3B	18791622	31538539	166	0.9901746987951809
Chr3B	358434724	375781155	Chr3B	376223845	393184185	34	0.9960588235294118
Chr3B	378145074	416556469	Chr3B	395539411	433872137	157	0.9959171974522292
Chr3B	418922290	479798592	Chr3B	434116770	494957648	365	0.9982630136986301
Chr3B	482733323	527781257	Chr3B	498947668	543383493	264	0.9972727272727272
Chr3B	74037	6805777	Chr3B	636529	8108057	94	0.980531914893617
Chr3B	10012714	22287612	Chr3B	10893181	21473648	136	0.9869485294117647
Chr3B	33064473	35821190	Chr3B	32523914	36251275	30	0.9991666666666668
Chr3B	38137652	97070979	Chr3B	38415139	100792291	551	0.9952468239564428
Chr3B	99457041	202823600	Chr3B	103154034	207030100	598	0.9976304347826086
Chr3B	205225044	206704475	Chr3B	209462520	211003168	11	0.9978181818181817
Chr3B	209383926	219278363	Chr3B	213804767	223700019	71	0.9959718309859152
Chr3B	223825022	226529934	Chr3B	228522671	231022621	11	0.9939090909090911
Chr3B	230843333	241641396	Chr3B	234250218	247342748	50	0.9926400000000001
Chr3B	247259756	288293953	Chr3B	252797465	294827092	196	0.9956734693877551
Chr3B	295003050	296080909	Chr3B	301644534	302753231	4	0.9985
Chr3B	303571170	307711148	Chr3B	308946726	313570457	4	0.9964999999999999
Chr3B	310640808	317012080	Chr3B	317031650	323755327	8	0.994875
Chr3B	319851485	322569052	Chr3B	325066742	327933900	6	0.9981666666666666
Chr3B	325241568	329207761	Chr3B	332547192	337085202	5	0.9974000000000001
Chr3B	333847811	350060262	Chr3B	341735401	358859562	24	0.9940416666666666
Chr3B	352247049	358032335	Chr3B	361052647	366806261	10	0.9968999999999999
Chr3B	534283586	851872904	Chr3B	543432040	865349806	2688	0.9969110863095239
