cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr5B	606422	5592378	Chr5B	1385432	9208950	27	0.9994444444444445
Chr5B	6276500	21067599	Chr5B	12710531	29552823	159	0.9953899371069183
Chr5B	213356288	218186481	Chr5B	215362392	220116598	19	0.9993684210526316
Chr5B	219127295	220083143	Chr5B	213426788	214394752	7	0.9982857142857142
Chr5B	18593	1210913	Chr5B	9763756	10836338	8	0.9886250000000001
Chr5B	19703555	150623157	Chr5B	28379837	165607249	788	0.9958197969543148
Chr5B	153027140	156551532	Chr5B	167982290	173445690	8	0.998875
Chr5B	158568371	169148558	Chr5B	175280410	185707774	18	0.9971666666666668
Chr5B	176683755	194129805	Chr5B	188507526	211318830	28	0.9984999999999999
Chr5B	206148489	212852689	Chr5B	220641588	227310496	23	0.9985217391304346
Chr5B	222313523	239465934	Chr5B	245203615	262675405	70	0.9965142857142855
Chr5B	241488361	344742710	Chr5B	264463302	367645873	578	0.9977629757785467
Chr5B	346985936	386215007	Chr5B	369869653	409097848	216	0.9982314814814814
Chr5B	389314561	415604247	Chr5B	409354994	437480734	198	0.9957424242424242
Chr5B	417734794	697539568	Chr5B	438775963	720560956	2835	0.9948458553791887
Chr5B	702013438	713675647	Chr5B	720620064	737866492	209	0.9974545454545454
Chr5B	697623529	699076624	Chr5B	725687478	727073815	14	0.9957857142857144
Chr5B	699828375	701960607	Chr5B	727822912	729718124	23	0.9831739130434783
Chr5B	713716983	714671459	Chr5B	19930	1199476	23	0.9814347826086955
