gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	22374	30707	-	26540	0.999	0.998
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	32470	36216	+	34343	1.0	0.986
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	232683	233907	+	233295	1.0	1.0
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	622307	628264	+	625285	1.0	0.996
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	628456	629953	+	629204	0.984	0.976
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	637161	638111	+	637636	1.0	0.991
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	3956551	3958335	+	3957443	1.0	0.995
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	4210218	4213338	-	4211778	0.998	0.993
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	4495667	4496032	-	4495849	1.0	0.969
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	4575085	4575567	+	4575326	1.0	0.997
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	4599702	4608132	+	4603917	0.994	0.992
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	4628580	4628926	+	4628753	1.0	0.986
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	4690884	4691063	+	4690973	1.0	0.994
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	4721346	4722335	-	4721840	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	5066969	5068473	-	5067721	1.0	0.988
