cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr1B	16380847	20873333	Chr1B	589908	4352263	65	0.9922769230769232
Chr1B	228391742	237708948	Chr1B	291470429	300711377	14	0.9998571428571429
Chr1B	240313663	244692138	Chr1B	284102038	288870684	7	0.9987142857142857
Chr1B	246841035	249142619	Chr1B	276883666	279171150	6	1.0
Chr1B	251958660	255242794	Chr1B	267521180	270796170	7	0.9987142857142858
Chr1B	263592723	272283175	Chr1B	250410104	259158465	30	0.9997
Chr1B	274419536	290488545	Chr1B	232788273	248286833	50	0.9986400000000001
Chr1B	311490393	311875761	Chr1B	325929466	326325344	5	0.9987999999999999
Chr1B	170123	16300711	Chr1B	2265373	20053292	235	0.9915489361702128
Chr1B	20972208	31339892	Chr1B	20739255	32360564	90	0.9914666666666666
Chr1B	34154432	38402288	Chr1B	33276066	37590882	25	0.9945999999999999
Chr1B	40611674	81974218	Chr1B	38813980	79635422	295	0.9948237288135592
Chr1B	86500196	91210816	Chr1B	88123213	92829965	18	0.9996666666666667
Chr1B	93460686	213678225	Chr1B	95115484	217007376	563	0.9978525754884546
Chr1B	217687496	224268457	Chr1B	222147142	228719243	16	0.9995625
Chr1B	255519152	263006204	Chr1B	259740838	267245071	13	0.9980769230769231
Chr1B	291765392	296088628	Chr1B	303411930	307729250	28	0.9995714285714286
Chr1B	298738700	298817103	Chr1B	310390596	310469036	5	1.0
Chr1B	301350787	310018863	Chr1B	312988546	321747002	40	0.9937999999999999
Chr1B	313326285	324212763	Chr1B	321999508	335947425	46	0.9925869565217392
Chr1B	328166615	693431698	Chr1B	336355217	708589674	2753	0.9951823465310571
Chr1B	696563810	700084281	Chr1B	708873304	711178819	30	0.9868
Chr1B	694520083	695710037	Chr1B	712720142	713677910	16	0.9933124999999999
