cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	240303	143772870	1421	0.999399014778325
Chr4D	143939177	159173700	Chr4D	146434483	161652319	18	0.9994999999999999
Chr4D	163710731	183649096	Chr4D	166211271	186711279	27	0.9997407407407408
Chr4D	188969484	192971731	Chr4D	193428619	197408854	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	199671532	203202638	7	0.9994285714285714
Chr4D	201663396	212424003	Chr4D	206489938	217897256	27	0.9997777777777778
Chr4D	214566503	228344802	Chr4D	220028423	233765916	23	0.9986521739130435
Chr4D	230503918	238850566	Chr4D	235969499	244293463	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	246587519	255422477	18	0.9997222222222223
Chr4D	251744642	256746015	Chr4D	257993127	262987574	7	0.999
Chr4D	259082246	261473317	Chr4D	265310743	267710446	6	0.9998333333333335
Chr4D	264155329	268258812	Chr4D	270382245	274472780	7	0.9984285714285714
Chr4D	270831155	284417863	Chr4D	277049075	290592286	19	0.9977368421052631
Chr4D	286726699	329466878	Chr4D	292874032	335815862	222	0.9993828828828829
Chr4D	331779306	375686787	Chr4D	338121602	382184115	302	0.9997450331125828
Chr4D	377775997	410310201	Chr4D	384296343	419871664	237	0.9995021097046414
Chr4D	412602740	514856841	Chr4D	422652615	528755127	1187	0.9994498736310025
