cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr4B	216728965	226695727	Chr4B	216075568	225977483	17	0.9998823529411766
Chr4B	229815313	233299063	Chr4B	229081950	232539459	4	0.9995
Chr4B	302476126	317325008	Chr4B	283551011	301308928	35	0.9995999999999999
Chr4B	322209821	324516341	Chr4B	275900096	278180462	6	0.9996666666666667
Chr4B	326650034	330229225	Chr4B	270197013	273781483	8	0.99975
Chr4B	332805993	335355652	Chr4B	265029368	267570547	5	0.9997999999999999
Chr4B	337825898	351612341	Chr4B	248923145	262572137	21	0.9998571428571429
Chr4B	233162	86155240	Chr4B	263887	85783273	794	0.9958727959697733
Chr4B	88370406	155154630	Chr4B	88010014	154653467	392	0.9995025510204081
Chr4B	157172475	164642854	Chr4B	156642352	164174274	12	0.9997500000000001
Chr4B	167236891	207224234	Chr4B	166748600	206633621	179	0.9989553072625698
Chr4B	212453315	215839854	Chr4B	211808677	215195171	21	0.9993333333333334
Chr4B	294688008	296591676	Chr4B	307302620	309201893	4	1.0
Chr4B	299196258	300568638	Chr4B	302315595	304682603	4	1.0
Chr4B	357330117	428374125	Chr4B	374973482	447407887	342	0.9998274853801169
Chr4B	430804721	673727606	Chr4B	449810656	699629344	1838	0.997037540805223
