gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	125104	126239	+	125671	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	133491	135329	+	134410	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	135697	139617	-	137657	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	140061	143560	-	141810	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	146539	153706	+	150122	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	160347	162136	+	161241	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	166875	171005	+	168940	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	171419	174441	-	172930	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	177550	180510	-	179030	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	183097	185759	-	184428	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	197323	203299	-	200311	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	221983	225260	+	223621	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	275985	287757	-	281871	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	490968	503413	-	497190	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	513569	515626	-	514597	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	522717	526686	-	524701	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	536541	543296	+	539918	1.0	1.0
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	547977	552395	-	550186	1.0	1.0
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	558270	561857	+	560063	1.0	1.0
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	568961	570079	-	569520	1.0	1.0
