gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	191580	197091	-	194335	1.0	1.0	collinear
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	479511	485991	-	482751	1.0	1.0	collinear
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	725012	726695	+	725853	1.0	1.0	collinear
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	734652	739657	-	737154	1.0	1.0	collinear
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	893900	896918	-	895409	1.0	1.0	collinear
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	1209843	1210838	+	1210340	1.0	1.0	collinear
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	1212331	1214128	+	1213229	1.0	1.0	collinear
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	1214453	1218085	-	1216269	1.0	1.0	collinear
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1219677	1223762	-	1221719	1.0	1.0	collinear
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1255900	1263067	+	1259483	1.0	1.0	collinear
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1265987	1267868	+	1266927	1.0	1.0	collinear
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1272921	1273809	-	1273365	1.0	1.0	collinear
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	1287112	1300022	-	1293567	1.0	1.0	collinear
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1422793	1425177	+	1423985	1.0	1.0	collinear
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1425974	1428840	-	1427407	1.0	1.0	collinear
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1430223	1433347	-	1431785	1.0	1.0	collinear
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1436636	1442919	-	1439777	1.0	1.0	collinear
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1476503	1479631	+	1478067	1.0	1.0	collinear
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1528515	1540338	-	1534426	1.0	1.0	collinear
gene:TraesCS1B03G0004000	Chr1B	1671721	1675652	-	1673686	Chr1B	1690504	1694435	-	1692469	1.0	1.0	collinear
gene:TraesCS1B03G0004100	Chr1B	1692906	1701917	-	1697411	Chr1B	1711689	1720700	-	1716194	1.0	1.0	collinear
gene:TraesCS1B03G0004400	Chr1B	1715344	1720242	-	1717793	Chr1B	1734127	1739025	-	1736576	1.0	1.0	collinear
gene:TraesCS1B03G0004700	Chr1B	1765180	1770270	+	1767725	Chr1B	1783963	1789054	+	1786508	1.0	0.999	collinear
gene:TraesCS1B03G0005100	Chr1B	1793871	1797954	-	1795912	Chr1B	1812657	1816740	-	1814698	1.0	1.0	collinear
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	1823114	1824037	-	1823575	1.0	1.0	collinear
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	1830845	1834123	-	1832484	1.0	0.997	collinear
gene:TraesCS1B03G0005600	Chr1B	1829519	1834861	-	1832190	Chr1B	1848305	1853647	-	1850976	1.0	1.0	collinear
gene:TraesCS1B03G0005800	Chr1B	1923843	1927998	-	1925920	Chr1B	1942630	1946785	-	1944707	1.0	1.0	collinear
gene:TraesCS1B03G0006100	Chr1B	1955887	1957879	+	1956883	Chr1B	1974305	1976297	+	1975301	1.0	1.0	collinear
gene:TraesCS1B03G0006200	Chr1B	2028942	2032657	-	2030799	Chr1B	2045822	2049537	-	2047679	1.0	1.0	collinear
gene:TraesCS1B03G0006500	Chr1B	2078159	2090731	-	2084445	Chr1B	2094907	2107479	-	2101193	1.0	1.0	collinear
gene:TraesCS1B03G0006600	Chr1B	2100932	2113189	-	2107060	Chr1B	2117680	2129937	-	2123808	1.0	1.0	collinear
