cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr3D	111986	21019663	Chr3D	749166	21844855	499	0.9997434869739479
Chr3D	21214157	116955327	Chr3D	25936089	130936460	970	0.9997381443298969
Chr3D	119094314	145655212	Chr3D	133066386	159676549	160	0.99981875
Chr3D	147725835	194192900	Chr3D	161784506	208823419	262	0.9999274809160306
Chr3D	197544325	200969144	Chr3D	212161854	215581999	5	1.0
Chr3D	203187169	203224239	Chr3D	218114469	218150522	4	1.0
Chr3D	207531742	214535149	Chr3D	222448304	229439143	11	1.0
Chr3D	216957444	220088873	Chr3D	231870129	234981572	6	1.0
Chr3D	226016244	232933791	Chr3D	241124341	248035466	13	0.9999230769230769
Chr3D	235055553	258632836	Chr3D	250149542	273715397	42	0.9999761904761906
Chr3D	260879965	492833467	Chr3D	275959060	507281671	1675	0.9997080597014926
Chr3D	495347019	619489515	Chr3D	510249924	635757151	1641	0.9998586227909811
