gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS1A03G0000200	Chr1A	40098	70338	-	55218	Chr1A	36568	79180	-	57874	0.999	0.977	collinear
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	79081	98046	+	88563	1.0	1.0	collinear
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	104486	113410	+	108948	1.0	1.0	collinear
gene:TraesCS1A03G0000800	Chr1A	102794	122504	+	112649	Chr1A	35906	63875	+	49890	0.999	0.943	collinear
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	157104	162173	-	159638	1.0	1.0	collinear
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	169927	170223	+	170075	1.0	1.0	collinear
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	176649	177026	-	176837	1.0	1.0	collinear
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	186895	187272	-	187083	1.0	1.0	collinear
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	239156	250146	+	244651	1.0	1.0	collinear
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	274427	276758	-	275592	1.0	1.0	collinear
gene:TraesCS1A03G0001700	Chr1A	269472	289602	-	279537	Chr1A	273294	293181	-	283237	1.0	1.0	collinear
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	291276	291536	+	291406	1.0	1.0	collinear
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	300685	301071	+	300878	1.0	1.0	collinear
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	327616	328035	+	327825	1.0	1.0	collinear
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	339386	339682	+	339534	1.0	1.0	collinear
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	402060	402356	+	402208	1.0	1.0	collinear
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1138394	1139995	+	1139194	1.0	1.0	collinear
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1152998	1156634	-	1154816	1.0	1.0	collinear
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1157289	1161682	-	1159485	1.0	1.0	collinear
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1163770	1170797	+	1167283	1.0	1.0	collinear
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1181983	1184003	+	1182993	1.0	1.0	collinear
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1202282	1205373	-	1203827	1.0	1.0	collinear
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1220760	1221185	-	1220972	1.0	1.0	collinear
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1224200	1230315	-	1227257	1.0	1.0	collinear
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1328004	1339489	-	1333746	1.0	1.0	collinear
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1561476	1562733	-	1562104	1.0	1.0	collinear
gene:TraesCS1A03G0007600	Chr1A	1938410	1941394	+	1939902	Chr1A	1924772	1927756	+	1926264	1.0	1.0	collinear
gene:TraesCS1A03G0007700	Chr1A	1946022	1947181	+	1946601	Chr1A	1932384	1933571	+	1932977	1.0	0.969	collinear
gene:TraesCS1A03G0007800	Chr1A	1946792	1947917	+	1947354	Chr1A	1933182	1934307	+	1933744	1.0	1.0	collinear
gene:TraesCS1A03G0007900	Chr1A	1963897	1965450	+	1964673	Chr1A	1950292	1951845	+	1951068	1.0	1.0	collinear
gene:TraesCS1A03G0008200	Chr1A	2058764	2060237	-	2059500	Chr1A	2045170	2046643	-	2045906	1.0	1.0	collinear
gene:TraesCS1A03G0008100	Chr1A	2058764	2060237	-	2059500	Chr1A	2045170	2046643	-	2045906	1.0	1.0	collinear
gene:TraesCS1A03G0008600	Chr1A	2058909	2060171	-	2059540	Chr1A	2045315	2046577	-	2045946	1.0	1.0	collinear
gene:TraesCS1A03G0008400	Chr1A	2058909	2060171	-	2059540	Chr1A	2045315	2046577	-	2045946	1.0	1.0	collinear
gene:TraesCS1A03G0008500	Chr1A	2058909	2060171	-	2059540	Chr1A	2045315	2046577	-	2045946	1.0	1.0	collinear
gene:TraesCS1A03G0008300	Chr1A	2058909	2060171	-	2059540	Chr1A	2045315	2046577	-	2045946	1.0	1.0	collinear
gene:TraesCS1A03G0009000	Chr1A	2567417	2577225	+	2572321	Chr1A	2485820	2495628	+	2490724	1.0	1.0	collinear
gene:TraesCS1A03G0009200	Chr1A	2579251	2580660	+	2579955	Chr1A	2497654	2499063	+	2498358	1.0	1.0	collinear
gene:TraesCS1A03G0009700	Chr1A	2599654	2609145	-	2604399	Chr1A	2518056	2527547	-	2522801	1.0	1.0	collinear
gene:TraesCS1A03G0009800	Chr1A	2632156	2645682	+	2638919	Chr1A	2550562	2564088	+	2557325	1.0	1.0	collinear
