gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	10323281	10328403	-	10325842	1.0	1.0
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	10257007	10258521	+	10257764	1.0	1.0
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	10130198	10135815	-	10133006	1.0	1.0
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	10126515	10129649	+	10128082	1.0	1.0
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	10112607	10116712	-	10114659	1.0	1.0
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	9653621	9653944	+	9653782	1.0	1.0
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	10782707	10787230	-	10784968	1.0	1.0
gene:TraesCS5B03G0001700	Chr5B	1104112	1106464	+	1105288	Chr5B	10685879	10688231	-	10687055	1.0	1.0
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	10680070	10681921	+	10680995	1.0	1.0
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	10579942	10582872	-	10581407	1.0	1.0
gene:TraesCS5B03G0002100	Chr5B	1405738	1406672	+	1406205	Chr5B	10352898	10353832	-	10353365	1.0	1.0
gene:TraesCS5B03G0009300	Chr5B	6274906	6278095	-	6276500	Chr5B	12109551	12112740	-	12111145	1.0	1.0
gene:TraesCS5B03G0009600	Chr5B	6421687	6425565	-	6423626	Chr5B	12255472	12259350	-	12257411	1.0	1.0
gene:TraesCS5B03G0009700	Chr5B	6450124	6464864	+	6457494	Chr5B	12283910	12298616	+	12291263	1.0	0.998
gene:TraesCS5B03G0009800	Chr5B	6475062	6478760	-	6476911	Chr5B	12308812	12312510	-	12310661	1.0	1.0
gene:TraesCS5B03G0009900	Chr5B	6523497	6531811	+	6527654	Chr5B	12357303	12365617	+	12361460	1.0	1.0
gene:TraesCS5B03G0010200	Chr5B	6557311	6558336	+	6557823	Chr5B	12391118	12392143	+	12391630	1.0	1.0
gene:TraesCS5B03G0010600	Chr5B	6627478	6644259	+	6635868	Chr5B	12460060	12476843	+	12468451	1.0	1.0
gene:TraesCS5B03G0011300	Chr5B	6679420	6682699	+	6681059	Chr5B	12512004	12515283	+	12513643	1.0	1.0
gene:TraesCS5B03G0011400	Chr5B	6701850	6705413	+	6703631	Chr5B	12534287	12537850	+	12536068	1.0	1.0
gene:TraesCS5B03G0011500	Chr5B	6706639	6711139	+	6708889	Chr5B	12538778	12543278	+	12541028	1.0	1.0
gene:TraesCS5B03G0011800	Chr5B	6715953	6734079	+	6725016	Chr5B	12548092	12566218	+	12557155	1.0	1.0
gene:TraesCS5B03G0012000	Chr5B	6891065	6894289	-	6892677	Chr5B	12734681	12737905	-	12736293	1.0	1.0
gene:TraesCS5B03G0012700	Chr5B	6974763	6984323	-	6979543	Chr5B	12817146	12826706	-	12821926	1.0	1.0
gene:TraesCS5B03G0013000	Chr5B	7024791	7026752	+	7025771	Chr5B	12866594	12868555	+	12867574	1.0	1.0
gene:TraesCS5B03G0012900	Chr5B	7022108	7032100	+	7027104	Chr5B	12863911	12873903	+	12868907	1.0	1.0
gene:TraesCS5B03G0013400	Chr5B	7077724	7083197	-	7080460	Chr5B	12926233	12931706	-	12928969	1.0	1.0
gene:TraesCS5B03G0013600	Chr5B	7124941	7128118	-	7126529	Chr5B	12973079	12976256	-	12974667	1.0	1.0
gene:TraesCS5B03G0013700	Chr5B	7175983	7176264	-	7176123	Chr5B	13023699	13023980	-	13023839	1.0	1.0
gene:TraesCS5B03G0014000	Chr5B	7204960	7205447	-	7205203	Chr5B	13052496	13052983	-	13052739	1.0	1.0
gene:TraesCS5B03G0014100	Chr5B	7240428	7241179	-	7240803	Chr5B	13087964	13088715	-	13088339	1.0	1.0
gene:TraesCS5B03G0014300	Chr5B	7359600	7360287	-	7359943	Chr5B	13207160	13207847	-	13207503	1.0	1.0
gene:TraesCS5B03G0014400	Chr5B	7410008	7410495	-	7410251	Chr5B	13257568	13258055	-	13257811	1.0	1.0
gene:TraesCS5B03G0014500	Chr5B	7437158	7437645	-	7437401	Chr5B	13284730	13285217	-	13284973	1.0	1.0
gene:TraesCS5B03G0014600	Chr5B	7592627	7597126	-	7594876	Chr5B	13440267	13444766	-	13442516	1.0	1.0
gene:TraesCS5B03G0014800	Chr5B	7755553	7759308	-	7757430	Chr5B	13603201	13606956	-	13605078	1.0	1.0
gene:TraesCS5B03G0015100	Chr5B	7985700	7994441	-	7990070	Chr5B	13832956	13841697	-	13837326	1.0	1.0
gene:TraesCS5B03G0015300	Chr5B	8044868	8056936	-	8050902	Chr5B	13891773	13903841	-	13897807	1.0	1.0
gene:TraesCS5B03G0015500	Chr5B	8136091	8146344	+	8141217	Chr5B	13982085	13992338	+	13987211	1.0	1.0
gene:TraesCS5B03G0015900	Chr5B	8231890	8236662	+	8234276	Chr5B	14080996	14085768	+	14083382	1.0	1.0
gene:TraesCS5B03G0016100	Chr5B	8246419	8248728	-	8247573	Chr5B	14095083	14097392	-	14096237	1.0	1.0
gene:TraesCS5B03G0016300	Chr5B	8403122	8405146	+	8404134	Chr5B	14249856	14251880	+	14250868	1.0	1.0
gene:TraesCS5B03G0016400	Chr5B	8412291	8414400	+	8413345	Chr5B	14259025	14261134	+	14260079	1.0	1.0
gene:TraesCS5B03G0017000	Chr5B	8435064	8439898	-	8437481	Chr5B	14281798	14286632	-	14284215	1.0	1.0
gene:TraesCS5B03G0017300	Chr5B	8578315	8592199	+	8585257	Chr5B	14423815	14437699	+	14430757	1.0	1.0
gene:TraesCS5B03G0017500	Chr5B	8592762	8599391	-	8596076	Chr5B	14438262	14444891	-	14441576	1.0	0.997
gene:TraesCS5B03G0017600	Chr5B	8929166	8931564	-	8930365	Chr5B	14790232	14792630	-	14791431	1.0	1.0
gene:TraesCS5B03G0018000	Chr5B	8959192	8973203	-	8966197	Chr5B	14820258	14834269	-	14827263	1.0	1.0
gene:TraesCS5B03G0018200	Chr5B	8987169	8989682	-	8988425	Chr5B	14848233	14850746	-	14849489	1.0	1.0
gene:TraesCS5B03G0018300	Chr5B	8990141	8990908	-	8990524	Chr5B	14851205	14851972	-	14851588	1.0	1.0
gene:TraesCS5B03G0018500	Chr5B	8999069	8999971	-	8999520	Chr5B	14860133	14861035	-	14860584	1.0	1.0
gene:TraesCS5B03G0019100	Chr5B	9063135	9063958	+	9063546	Chr5B	14924201	14925024	+	14924612	1.0	1.0
gene:TraesCS5B03G0019200	Chr5B	9094473	9094694	+	9094583	Chr5B	14955539	14955760	+	14955649	1.0	1.0
gene:TraesCS5B03G0019300	Chr5B	9098241	9101504	+	9099872	Chr5B	14959307	14962570	+	14960938	1.0	1.0
gene:TraesCS5B03G0019500	Chr5B	9128880	9132494	+	9130687	Chr5B	14989952	14993567	+	14991759	1.0	1.0
gene:TraesCS5B03G0019600	Chr5B	9270520	9274061	-	9272290	Chr5B	15131574	15135115	-	15133344	1.0	1.0
gene:TraesCS5B03G0019700	Chr5B	9291833	9292246	+	9292039	Chr5B	15152887	15153300	+	15153093	1.0	1.0
gene:TraesCS5B03G0019900	Chr5B	9309126	9311271	+	9310198	Chr5B	15170179	15172324	+	15171251	1.0	1.0
gene:TraesCS5B03G0020000	Chr5B	9311350	9315370	-	9313360	Chr5B	15172403	15176423	-	15174413	1.0	1.0
gene:TraesCS5B03G0020200	Chr5B	9331528	9333209	+	9332368	Chr5B	15192585	15194266	+	15193425	1.0	1.0
gene:TraesCS5B03G0020300	Chr5B	9336604	9337029	+	9336816	Chr5B	15197661	15198086	+	15197873	1.0	1.0
gene:TraesCS5B03G0020400	Chr5B	9346778	9347669	+	9347223	Chr5B	15207835	15208726	+	15208280	1.0	1.0
gene:TraesCS5B03G0020500	Chr5B	9350147	9351646	+	9350896	Chr5B	15211204	15212703	+	15211953	1.0	1.0
gene:TraesCS5B03G0020600	Chr5B	9380809	9382659	-	9381734	Chr5B	15241866	15243716	-	15242791	1.0	1.0
gene:TraesCS5B03G0020700	Chr5B	9403400	9406313	+	9404856	Chr5B	15264457	15267370	+	15265913	1.0	1.0
gene:TraesCS5B03G0020800	Chr5B	9468227	9470148	+	9469187	Chr5B	15329288	15331209	+	15330248	1.0	1.0
gene:TraesCS5B03G0021000	Chr5B	9571961	9572791	-	9572376	Chr5B	15433045	15433875	-	15433460	1.0	1.0
gene:TraesCS5B03G0021200	Chr5B	9587651	9588520	+	9588085	Chr5B	15448735	15449604	+	15449169	1.0	1.0
gene:TraesCS5B03G0021800	Chr5B	9717192	9720543	-	9718867	Chr5B	15578103	15581454	-	15579778	1.0	1.0
gene:TraesCS5B03G0022000	Chr5B	9855474	9864520	+	9859997	Chr5B	15716206	15725248	+	15720727	1.0	1.0
gene:TraesCS5B03G0022200	Chr5B	10106300	10110457	-	10108378	Chr5B	15967034	15971191	-	15969112	1.0	1.0
gene:TraesCS5B03G0022600	Chr5B	10214304	10220355	-	10217329	Chr5B	16075039	16081090	-	16078064	1.0	1.0
gene:TraesCS5B03G0022700	Chr5B	10307002	10310651	-	10308826	Chr5B	16167740	16171389	-	16169564	1.0	1.0
gene:TraesCS5B03G0022900	Chr5B	10391195	10392453	+	10391824	Chr5B	16251951	16253209	+	16252580	1.0	1.0
gene:TraesCS5B03G0023200	Chr5B	10474262	10476974	+	10475618	Chr5B	16333826	16336538	+	16335182	1.0	1.0
gene:TraesCS5B03G0023300	Chr5B	10483169	10487009	-	10485089	Chr5B	16342733	16346573	-	16344653	1.0	1.0
gene:TraesCS5B03G0023400	Chr5B	10487058	10495071	-	10491064	Chr5B	16346622	16354635	-	16350628	1.0	1.0
gene:TraesCS5B03G0023800	Chr5B	10569581	10572063	-	10570822	Chr5B	16427929	16430411	-	16429170	1.0	1.0
gene:TraesCS5B03G0023900	Chr5B	11094914	11095366	+	11095140	Chr5B	16978922	16979374	+	16979148	1.0	1.0
gene:TraesCS5B03G0024100	Chr5B	11123414	11123869	+	11123641	Chr5B	17007423	17007878	+	17007650	1.0	1.0
gene:TraesCS5B03G0024200	Chr5B	11126365	11127792	+	11127078	Chr5B	17010374	17011801	+	17011087	1.0	1.0
gene:TraesCS5B03G0024800	Chr5B	11356992	11359994	-	11358493	Chr5B	17240607	17243609	-	17242108	1.0	1.0
gene:TraesCS5B03G0025000	Chr5B	11505766	11509181	+	11507473	Chr5B	17389396	17392811	+	17391103	1.0	1.0
gene:TraesCS5B03G0025300	Chr5B	11528508	11529623	+	11529065	Chr5B	17412142	17413257	+	17412699	1.0	1.0
gene:TraesCS5B03G0025500	Chr5B	11553967	11555073	+	11554520	Chr5B	17437603	17438709	+	17438156	1.0	1.0
gene:TraesCS5B03G0025700	Chr5B	11563724	11567657	+	11565690	Chr5B	17447361	17451294	+	17449327	1.0	1.0
gene:TraesCS5B03G0025800	Chr5B	11599622	11605376	-	11602499	Chr5B	17483263	17489017	-	17486140	1.0	1.0
gene:TraesCS5B03G0025900	Chr5B	11653192	11653452	-	11653322	Chr5B	17536842	17537102	-	17536972	1.0	1.0
gene:TraesCS5B03G0026100	Chr5B	11812338	11822104	-	11817221	Chr5B	17704793	17714559	-	17709676	1.0	1.0
gene:TraesCS5B03G0026400	Chr5B	12310257	12315207	-	12312732	Chr5B	18193015	18197965	-	18195490	1.0	1.0
gene:TraesCS5B03G0026600	Chr5B	12370913	12372013	-	12371463	Chr5B	18253672	18254772	-	18254222	1.0	1.0
gene:TraesCS5B03G0026700	Chr5B	12374135	12378689	-	12376412	Chr5B	18256894	18261448	-	18259171	1.0	1.0
gene:TraesCS5B03G0026800	Chr5B	12379835	12384505	-	12382170	Chr5B	18262594	18267264	-	18264929	1.0	1.0
gene:TraesCS5B03G0027400	Chr5B	12612938	12617664	-	12615301	Chr5B	18507853	18512579	-	18510216	1.0	1.0
gene:TraesCS5B03G0027500	Chr5B	12619611	12627348	+	12623479	Chr5B	18514526	18522263	+	18518394	1.0	1.0
gene:TraesCS5B03G0027600	Chr5B	12629960	12631747	+	12630853	Chr5B	18524876	18526663	+	18525769	1.0	1.0
gene:TraesCS5B03G0027700	Chr5B	12708205	12708903	+	12708554	Chr5B	18603120	18603818	+	18603469	1.0	1.0
gene:TraesCS5B03G0027900	Chr5B	12894311	12907141	-	12900726	Chr5B	18789230	18802061	-	18795645	1.0	1.0
gene:TraesCS5B03G0028100	Chr5B	13129670	13134023	-	13131846	Chr5B	19024591	19028942	-	19026766	0.999	0.999
gene:TraesCS5B03G0028200	Chr5B	13220273	13224136	+	13222204	Chr5B	19115207	19119070	+	19117138	1.0	1.0
gene:TraesCS5B03G0028300	Chr5B	13224220	13225588	-	13224904	Chr5B	19119154	19120522	-	19119838	1.0	1.0
gene:TraesCS5B03G0028400	Chr5B	13232245	13237196	+	13234720	Chr5B	19127187	19132139	+	19129663	1.0	1.0
gene:TraesCS5B03G0028900	Chr5B	13269693	13271649	-	13270671	Chr5B	19164636	19166592	-	19165614	1.0	1.0
gene:TraesCS5B03G0029100	Chr5B	13314077	13314463	+	13314270	Chr5B	19209024	19209410	+	19209217	1.0	1.0
gene:TraesCS5B03G0029200	Chr5B	13317363	13325016	-	13321189	Chr5B	19212310	19219963	-	19216136	1.0	1.0
gene:TraesCS5B03G0029300	Chr5B	13396832	13400806	+	13398819	Chr5B	19291789	19295763	+	19293776	1.0	1.0
gene:TraesCS5B03G0029500	Chr5B	13403971	13404722	-	13404346	Chr5B	19298928	19299679	-	19299303	1.0	1.0
