gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS3D03G0095400	Chr3D	21213997	21214317	-	21214157	Chr3D	25935929	25936249	-	25936089	1.0	1.0
gene:TraesCS3D03G0095800	Chr3D	21260500	21261032	-	21260766	Chr3D	25982499	25983031	-	25982765	1.0	1.0
gene:TraesCS3D03G0096000	Chr3D	21336911	21337662	-	21337286	Chr3D	26058578	26059329	-	26058953	1.0	1.0
gene:TraesCS3D03G0096300	Chr3D	21772332	21773589	-	21772960	Chr3D	26495253	26496510	-	26495881	1.0	1.0
gene:TraesCS3D03G0096400	Chr3D	21796592	21798779	+	21797685	Chr3D	26519513	26521700	+	26520606	1.0	1.0
gene:TraesCS3D03G0096600	Chr3D	21891750	21892811	+	21892280	Chr3D	26614669	26615730	+	26615199	1.0	1.0
gene:TraesCS3D03G0097100	Chr3D	21899382	21899525	-	21899453	Chr3D	26622051	26622194	-	26622122	1.0	1.0
gene:TraesCS3D03G0097200	Chr3D	21899630	21899746	-	21899688	Chr3D	26622299	26622415	-	26622357	1.0	1.0
gene:TraesCS3D03G0097400	Chr3D	21899899	21900150	-	21900024	Chr3D	26622568	26622819	-	26622693	1.0	1.0
gene:TraesCS3D03G0097600	Chr3D	21901302	21901397	+	21901349	Chr3D	26623971	26624066	+	26624018	1.0	1.0
gene:TraesCS3D03G0097900	Chr3D	21903008	21903208	+	21903108	Chr3D	26625677	26625877	+	26625777	1.0	1.0
gene:TraesCS3D03G0098000	Chr3D	21903478	21903990	+	21903734	Chr3D	26626147	26626659	+	26626403	1.0	1.0
gene:TraesCS3D03G0098100	Chr3D	21904153	21904512	-	21904332	Chr3D	26626822	26627181	-	26627001	1.0	1.0
gene:TraesCS3D03G0098300	Chr3D	21905997	21906647	-	21906322	Chr3D	26628129	26628779	-	26628454	1.0	1.0
gene:TraesCS3D03G0098400	Chr3D	21907250	21908670	+	21907960	Chr3D	26629382	26630802	+	26630092	1.0	1.0
gene:TraesCS3D03G0098500	Chr3D	21908834	21908950	+	21908892	Chr3D	26630966	26631082	+	26631024	1.0	1.0
gene:TraesCS3D03G0098700	Chr3D	22049282	22054560	-	22051921	Chr3D	26771365	26776643	-	26774004	1.0	1.0
