gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	471108	476908	-	474008	0.997	0.993	collinear
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	482160	486355	+	484257	1.0	1.0	collinear
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	650148	651575	+	650861	1.0	1.0	collinear
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	678465	678797	-	678631	1.0	1.0	collinear
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	678465	678823	-	678644	1.0	1.0	collinear
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	890725	891057	-	890891	1.0	1.0	collinear
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	937409	941736	-	939572	1.0	1.0	collinear
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1103867	1106881	+	1105374	1.0	1.0	collinear
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1107112	1113023	-	1110067	1.0	1.0	collinear
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1701389	1702432	+	1701910	1.0	1.0	collinear
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1708997	1711041	-	1710019	1.0	0.992	collinear
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1777029	1782207	+	1779618	1.0	1.0	collinear
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1876823	1883861	-	1880342	1.0	1.0	collinear
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	1975051	1977984	+	1976517	1.0	1.0	collinear
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2038081	2039790	+	2038935	1.0	1.0	collinear
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2058361	2061060	-	2059710	1.0	1.0	collinear
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2290645	2291010	-	2290827	1.0	1.0	collinear
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2291712	2292503	+	2292107	1.0	1.0	collinear
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2305947	2312694	+	2309320	1.0	1.0	collinear
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2421804	2423448	-	2422626	1.0	1.0	collinear
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2456974	2459327	+	2458150	1.0	1.0	collinear
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2462250	2473108	+	2467679	1.0	0.995	collinear
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2685944	2686966	-	2686455	1.0	0.999	collinear
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2784770	2787674	+	2786222	1.0	1.0	collinear
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2833984	2840193	+	2837088	1.0	1.0	collinear
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2841652	2846852	-	2844252	0.991	0.987	collinear
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2848219	2852300	-	2850259	1.0	1.0	collinear
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2857584	2861954	+	2859769	1.0	1.0	collinear
