gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	2118178	2118602	-	2118390	1.0	1.0
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	2283645	2285484	+	2284564	1.0	1.0
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	2288535	2289228	+	2288881	1.0	1.0
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	2290473	2291074	-	2290773	1.0	1.0
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	2312791	2315382	-	2314086	1.0	1.0
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	2419282	2420617	+	2419949	1.0	1.0
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	2432012	2432994	+	2432503	1.0	1.0
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	2468677	2471502	-	2470089	1.0	1.0
gene:TraesCS3B03G0001500	Chr3B	475201	476475	-	475838	Chr3B	2519227	2520501	-	2519864	1.0	1.0
gene:TraesCS3B03G0001600	Chr3B	478359	479180	+	478769	Chr3B	2522385	2523206	+	2522795	1.0	1.0
gene:TraesCS3B03G0001700	Chr3B	491565	493664	-	492614	Chr3B	2536095	2538194	-	2537144	1.0	1.0
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	2657794	2659935	+	2658864	1.0	1.0
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	2898590	2899146	+	2898868	1.0	1.0
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	2901713	2906811	-	2904262	1.0	1.0
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	3356743	3360601	-	3358672	1.0	1.0
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	3666963	3671328	+	3669145	1.0	1.0
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	3702400	3705692	-	3704046	1.0	1.0
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	3771507	3774640	-	3773073	1.0	1.0
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	3816469	3820752	-	3818610	1.0	1.0
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	3824346	3825945	+	3825145	1.0	1.0
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	4294849	4296277	+	4295563	1.0	1.0
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	4304012	4306365	-	4305188	1.0	1.0
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	4316889	4318664	-	4317776	1.0	1.0
gene:TraesCS3B03G0005500	Chr3B	2264941	2267104	-	2266022	Chr3B	4330200	4332363	-	4331281	1.0	1.0
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	4345257	4348181	-	4346719	1.0	1.0
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	4362059	4364888	-	4363473	1.0	1.0
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	4370768	4373832	-	4372300	1.0	1.0
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	4453072	4455467	-	4454269	1.0	1.0
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	4463519	4465868	-	4464693	1.0	1.0
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	4477067	4485674	+	4481370	1.0	1.0
