gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	95365	96519	-	95942	1.0	0.999
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	200867	204093	+	202480	1.0	1.0
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	204263	205887	-	205075	1.0	1.0
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	207113	208431	-	207772	1.0	1.0
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	218766	223378	+	221072	1.0	1.0
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	478678	487916	+	483297	1.0	1.0
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	541698	542333	-	542015	1.0	1.0
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	728948	735016	-	731982	1.0	1.0
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	742337	747573	-	744955	1.0	1.0
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	883060	883586	+	883323	1.0	1.0
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	894154	897585	+	895869	1.0	1.0
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	902709	903483	+	903096	1.0	1.0
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	927364	928697	-	928030	1.0	1.0
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1065954	1066349	+	1066151	1.0	1.0
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1136742	1138586	-	1137664	1.0	1.0
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1205982	1209206	+	1207594	1.0	1.0
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1505585	1506059	-	1505822	1.0	1.0
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	1706749	1709367	+	1708058	1.0	1.0
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	1858761	1860624	-	1859692	1.0	1.0
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	1862396	1870958	-	1866677	1.0	1.0
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	1873481	1882264	-	1877872	1.0	1.0
