cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	135212	168740190	1625	0.9997544615384616
Chr6A	169123596	174751019	Chr6A	172287820	177914431	30	0.9998
Chr6A	177010402	237636332	Chr6A	180171931	240550922	205	0.9998439024390243
Chr6A	243810148	244731119	Chr6A	246699963	247615880	3	1.0
Chr6A	251103689	255370132	Chr6A	254011488	258265919	8	1.0
Chr6A	257566273	264313435	Chr6A	260448155	267175967	22	0.9998181818181819
Chr6A	266482395	275860435	Chr6A	269352249	278693898	22	1.0
Chr6A	278883582	290338890	Chr6A	282393707	293687686	15	1.0
Chr6A	293863739	319731587	Chr6A	297036791	323871267	29	0.9998275862068966
Chr6A	323819925	326827584	Chr6A	327944710	330926824	8	1.0
Chr6A	328915123	332571498	Chr6A	333014127	336659558	6	1.0
Chr6A	334687288	346665213	Chr6A	338770676	350679720	16	0.9996875000000001
Chr6A	349035941	349057392	Chr6A	353044793	353066244	3	1.0
Chr6A	354380382	355885891	Chr6A	358372197	359874339	4	0.9984999999999999
Chr6A	357954045	528717530	Chr6A	361926066	532405515	865	0.9997260115606935
Chr6A	530890411	622584375	Chr6A	534576010	630856119	1258	0.9997400635930048
