gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS6B03G0000100	Chr6B	4638	5609	+	5123	Chr6B	22005	22976	+	22490	1.0	1.0
gene:TraesCS6B03G0000500	Chr6B	137372	140150	-	138761	Chr6B	153500	156278	-	154889	1.0	1.0
gene:TraesCS6B03G0000700	Chr6B	140235	142046	-	141140	Chr6B	156363	158174	-	157268	1.0	1.0
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	319300	320255	+	319777	1.0	1.0
gene:TraesCS6B03G0001700	Chr6B	350488	351809	+	351148	Chr6B	365942	367263	+	366602	1.0	1.0
gene:TraesCS6B03G0001900	Chr6B	394769	400060	+	397414	Chr6B	409833	415124	+	412478	1.0	1.0
gene:TraesCS6B03G0002500	Chr6B	746313	747823	-	747068	Chr6B	760676	762186	-	761431	1.0	1.0
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	814669	817227	-	815948	1.0	0.997
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	872536	873943	+	873239	1.0	1.0
gene:TraesCS6B03G0002900	Chr6B	880222	882564	-	881393	Chr6B	894621	896963	-	895792	1.0	1.0
gene:TraesCS6B03G0003000	Chr6B	919543	920926	-	920234	Chr6B	933941	935324	-	934632	1.0	1.0
gene:TraesCS6B03G0003100	Chr6B	921163	922065	+	921614	Chr6B	935561	936463	+	936012	1.0	1.0
gene:TraesCS6B03G0003300	Chr6B	1061255	1064455	+	1062855	Chr6B	1075662	1078862	+	1077262	1.0	0.999
gene:TraesCS6B03G0003400	Chr6B	1077423	1085953	-	1081688	Chr6B	1091830	1100362	-	1096096	1.0	1.0
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	1141139	1142104	-	1141621	1.0	1.0
gene:TraesCS6B03G0003900	Chr6B	1217867	1224899	+	1221383	Chr6B	1232289	1239321	+	1235805	1.0	1.0
gene:TraesCS6B03G0004100	Chr6B	1270563	1271358	-	1270960	Chr6B	1284985	1285780	-	1285382	1.0	1.0
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	1371137	1372971	+	1372054	1.0	1.0
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	1463495	1466616	-	1465055	1.0	1.0
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	1476971	1477747	+	1477359	1.0	1.0
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	1567314	1569099	-	1568206	1.0	1.0
gene:TraesCS6B03G0006000	Chr6B	1585204	1589474	-	1587339	Chr6B	1598927	1603197	-	1601062	1.0	1.0
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	1929178	1941036	+	1935107	1.0	1.0
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	1970495	1975158	+	1972826	1.0	1.0
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	2108038	2168675	-	2138356	1.0	1.0
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	2173392	2175889	-	2174640	1.0	1.0
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	2268422	2322053	-	2295237	1.0	1.0
gene:TraesCS6B03G0007300	Chr6B	2347220	2347510	-	2347365	Chr6B	2357583	2357873	-	2357728	1.0	1.0
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	2406408	2408248	+	2407328	1.0	1.0
gene:TraesCS6B03G0007700	Chr6B	2507209	2508578	-	2507893	Chr6B	2517733	2519102	-	2518417	1.0	1.0
gene:TraesCS6B03G0007800	Chr6B	2515997	2524753	-	2520375	Chr6B	2526521	2535277	-	2530899	1.0	1.0
gene:TraesCS6B03G0008100	Chr6B	2581651	2582883	-	2582267	Chr6B	2592173	2593405	-	2592789	1.0	1.0
gene:TraesCS6B03G0008800	Chr6B	2813922	2817170	-	2815546	Chr6B	2778315	2781563	-	2779939	1.0	1.0
gene:TraesCS6B03G0008900	Chr6B	2844462	2845888	-	2845175	Chr6B	2808855	2810281	-	2809568	1.0	1.0
gene:TraesCS6B03G0009000	Chr6B	2856556	2859543	-	2858049	Chr6B	2820949	2823936	-	2822442	1.0	1.0
gene:TraesCS6B03G0009100	Chr6B	2860011	2862961	-	2861486	Chr6B	2824404	2827354	-	2825879	1.0	1.0
gene:TraesCS6B03G0009200	Chr6B	2883247	2888162	-	2885704	Chr6B	2847258	2852173	-	2849715	1.0	1.0
gene:TraesCS6B03G0009400	Chr6B	2919691	2921230	-	2920460	Chr6B	2884248	2885787	-	2885017	1.0	1.0
gene:TraesCS6B03G0009600	Chr6B	2938021	2939165	+	2938593	Chr6B	2902260	2903404	+	2902832	1.0	1.0
gene:TraesCS6B03G0009700	Chr6B	3189981	3196826	-	3193403	Chr6B	3153836	3160596	-	3157216	1.0	1.0
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	3286533	3287330	+	3286931	1.0	1.0
gene:TraesCS6B03G0010300	Chr6B	3344064	3356232	-	3350148	Chr6B	3306910	3319166	-	3313038	1.0	1.0
gene:TraesCS6B03G0010400	Chr6B	3511477	3514314	+	3512895	Chr6B	3470305	3473142	+	3471723	1.0	1.0
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	3625192	3625629	-	3625410	1.0	1.0
gene:TraesCS6B03G0011000	Chr6B	3849139	3850517	-	3849828	Chr6B	3797736	3799114	-	3798425	1.0	1.0
gene:TraesCS6B03G0011100	Chr6B	3878854	3880441	+	3879647	Chr6B	3827227	3828814	+	3828020	1.0	1.0
gene:TraesCS6B03G0011200	Chr6B	3920814	3922484	+	3921649	Chr6B	3868195	3869865	+	3869030	1.0	1.0
gene:TraesCS6B03G0011300	Chr6B	3978765	3980409	+	3979587	Chr6B	3925387	3927031	+	3926209	1.0	1.0
gene:TraesCS6B03G0011400	Chr6B	4007165	4008627	-	4007896	Chr6B	3953572	3955034	-	3954303	1.0	1.0
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	4007457	4008415	+	4007936	1.0	1.0
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	4011747	4012673	+	4012210	1.0	1.0
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	4019506	4023910	-	4021708	1.0	1.0
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	4033190	4037413	+	4035301	1.0	1.0
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	4039397	4040394	-	4039895	1.0	1.0
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	4046878	4047292	+	4047085	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	4069742	4070713	+	4070227	1.0	1.0
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	4308152	4312909	+	4310530	1.0	1.0
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	4333164	4339848	+	4336506	1.0	1.0
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	4345810	4346487	+	4346148	1.0	1.0
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	4354943	4361045	+	4357994	1.0	1.0
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	4377448	4384965	-	4381206	1.0	1.0
gene:TraesCS6B03G0014000	Chr6B	4455874	4461863	+	4458868	Chr6B	4397497	4403486	+	4400491	1.0	1.0
gene:TraesCS6B03G0014100	Chr6B	4463885	4465277	+	4464581	Chr6B	4405508	4406900	+	4406204	1.0	1.0
gene:TraesCS6B03G0014300	Chr6B	4498700	4500273	-	4499486	Chr6B	4450725	4452298	-	4451511	1.0	1.0
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	4812692	4815786	+	4814239	1.0	1.0
gene:TraesCS6B03G0014900	Chr6B	4848885	4871693	-	4860289	Chr6B	4877440	4900251	-	4888845	1.0	1.0
gene:TraesCS6B03G0015800	Chr6B	4985153	4986343	+	4985748	Chr6B	5015847	5017037	+	5016442	1.0	1.0
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	5018839	5021102	+	5019970	1.0	1.0
gene:TraesCS6B03G0016100	Chr6B	4998295	4999616	+	4998955	Chr6B	5028989	5030310	+	5029649	1.0	1.0
gene:TraesCS6B03G0016400	Chr6B	5017617	5021758	+	5019687	Chr6B	5048314	5052455	+	5050384	1.0	1.0
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	5062098	5066349	-	5064223	1.0	1.0
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	5296632	5300985	+	5298808	1.0	1.0
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	5304272	5306136	+	5305204	1.0	1.0
gene:TraesCS6B03G0017100	Chr6B	5277081	5279442	-	5278261	Chr6B	5305980	5308341	-	5307160	1.0	1.0
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	5315820	5316779	-	5316299	1.0	1.0
gene:TraesCS6B03G0018500	Chr6B	5432365	5434175	-	5433270	Chr6B	5461277	5463087	-	5462182	1.0	1.0
gene:TraesCS6B03G0018700	Chr6B	5530350	5532958	-	5531654	Chr6B	5559282	5561890	-	5560586	1.0	1.0
gene:TraesCS6B03G0018800	Chr6B	5556339	5559013	-	5557676	Chr6B	5585255	5587929	-	5586592	1.0	1.0
gene:TraesCS6B03G0019200	Chr6B	5580392	5588578	-	5584485	Chr6B	5609308	5617494	-	5613401	1.0	1.0
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	5668102	5668968	-	5668535	1.0	1.0
gene:TraesCS6B03G0019400	Chr6B	6025414	6031378	-	6028396	Chr6B	6058433	6064397	-	6061415	1.0	1.0
gene:TraesCS6B03G0019500	Chr6B	6041029	6053074	-	6047051	Chr6B	6073629	6085473	-	6079551	1.0	1.0
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	6109988	6119796	-	6114892	1.0	1.0
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	6131687	6132190	+	6131938	1.0	1.0
