cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr1B	170123	38402288	Chr1B	194335	39503830	543	0.9997826887661143
Chr1B	40611674	81974218	Chr1B	41757800	85856418	321	0.9995140186915887
Chr1B	86500196	91210816	Chr1B	91531466	96245406	18	0.9998888888888889
Chr1B	93460686	224268457	Chr1B	98501160	231922015	590	0.9997406779661017
Chr1B	226868456	237708948	Chr1B	234662984	245777188	15	0.9998666666666666
Chr1B	240313663	244692138	Chr1B	248380006	253465093	8	1.0
Chr1B	246841035	249142619	Chr1B	255802356	258077385	6	1.0
Chr1B	251958660	272283175	Chr1B	261921952	282946931	50	0.99952
Chr1B	274419536	296088628	Chr1B	285078394	306677021	79	0.9998227848101264
Chr1B	298738700	298817103	Chr1B	309336014	309414418	5	1.0
Chr1B	301350787	691844083	Chr1B	311933620	705858606	3001	0.9997360879706765
Chr1B	692429531	694498892	Chr1B	712453550	714522790	20	0.9999499999999999
Chr1B	694520083	695710037	Chr1B	716954502	717952524	17	0.9980588235294117
Chr1B	696563810	698859931	Chr1B	720051888	722358048	31	1.0
