cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr6B	5123	109698670	Chr6B	22490	109739086	1156	0.9998451557093424
Chr6B	112200748	114854793	Chr6B	112233274	114880918	7	0.9998571428571428
Chr6B	117445277	246426312	Chr6B	118037587	247837240	818	0.9997750611246944
Chr6B	249274084	259111612	Chr6B	250652549	261836056	30	0.9998666666666668
Chr6B	261263057	268713242	Chr6B	263978108	271430985	32	0.99990625
Chr6B	271066163	271204143	Chr6B	273767336	273905513	6	1.0
Chr6B	273275668	273714013	Chr6B	275976636	276412573	3	1.0
Chr6B	275888096	289129738	Chr6B	278575051	291758144	45	0.9998222222222224
Chr6B	292829101	299893030	Chr6B	295454832	304345740	25	0.99824
Chr6B	301908638	308701890	Chr6B	307733707	314773754	27	0.9978888888888888
Chr6B	310986731	327439454	Chr6B	317039927	336553101	35	1.0
Chr6B	340390557	346252642	Chr6B	354984623	361336536	11	1.0
Chr6B	348550830	349949438	Chr6B	364247659	365635408	5	0.9988
Chr6B	356234110	363784669	Chr6B	367971511	379817283	24	1.0
Chr6B	367054723	387071487	Chr6B	383065051	403475726	30	0.9998
Chr6B	393616244	406743837	Chr6B	410004946	423572798	35	0.9998285714285714
Chr6B	410641112	435164669	Chr6B	427445778	451867563	60	0.9985666666666668
Chr6B	437584110	449326149	Chr6B	454274559	468113765	53	0.9999622641509436
Chr6B	452819490	629148387	Chr6B	471592876	651822781	1031	0.9998855480116392
Chr6B	631157333	635284956	Chr6B	653923422	658047412	37	1.0
Chr6B	638657051	731065543	Chr6B	661620287	754875137	1117	0.9998406445837064
