gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	1148959	1149612	+	1149285	1.0	1.0	collinear
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	1140170	1140625	-	1140397	1.0	1.0	collinear
gene:TraesCS6D03G0001000	Chr6D	88938	95787	-	92362	Chr6D	1097847	1104696	+	1101271	1.0	1.0	collinear
gene:TraesCS6D03G0001500	Chr6D	207420	208955	+	208187	Chr6D	984677	986212	-	985444	1.0	1.0	collinear
gene:TraesCS6D03G0001700	Chr6D	219614	221286	-	220450	Chr6D	972345	974017	+	973181	1.0	1.0	collinear
gene:TraesCS6D03G0001900	Chr6D	287212	289249	+	288230	Chr6D	904390	906427	-	905408	1.0	1.0	collinear
gene:TraesCS6D03G0002300	Chr6D	386000	388713	+	387356	Chr6D	804921	807634	-	806277	1.0	1.0	collinear
gene:TraesCS6D03G0002600	Chr6D	395648	398850	-	397249	Chr6D	794784	797986	+	796385	1.0	1.0	collinear
gene:TraesCS6D03G0002800	Chr6D	419600	421134	-	420367	Chr6D	772488	774022	+	773255	1.0	1.0	collinear
gene:TraesCS6D03G0002900	Chr6D	421647	422807	-	422227	Chr6D	770815	771975	+	771395	1.0	1.0	collinear
gene:TraesCS6D03G0003600	Chr6D	487116	490616	-	488866	Chr6D	702991	706491	+	704741	1.0	1.0	collinear
gene:TraesCS6D03G0003700	Chr6D	497323	499555	-	498439	Chr6D	694052	696284	+	695168	1.0	1.0	collinear
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	591994	595234	+	593614	1.0	0.999	collinear
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	518375	518797	+	518586	1.0	1.0	collinear
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	395511	396767	-	396139	1.0	1.0	collinear
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	392438	394833	-	393635	1.0	1.0	collinear
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	234088	234351	-	234219	1.0	1.0	collinear
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	1774921	1776570	+	1775745	1.0	1.0	collinear
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	1813885	1818091	-	1815988	1.0	1.0	collinear
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	1821825	1832086	-	1826955	1.0	1.0	collinear
gene:TraesCS6D03G0007300	Chr6D	1436172	1441156	+	1438664	Chr6D	1846295	1851279	+	1848787	1.0	1.0	collinear
gene:TraesCS6D03G0007500	Chr6D	1479620	1482804	+	1481212	Chr6D	1889745	1892929	+	1891337	1.0	1.0	collinear
gene:TraesCS6D03G0007600	Chr6D	1498848	1508542	-	1503695	Chr6D	1908851	1918546	-	1913698	1.0	1.0	collinear
gene:TraesCS6D03G0007800	Chr6D	1529313	1530649	-	1529981	Chr6D	1939317	1940653	-	1939985	1.0	1.0	collinear
