gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity
gene:TraesCS4B03G0000100	Chr4B	1	459	+	230	Chr4B	298158	298616	-	298387	1.0	1.0
gene:TraesCS4B03G0000200	Chr4B	228946	232186	+	230566	Chr4B	576816	580056	+	578436	1.0	1.0
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	580231	581834	-	581032	1.0	1.0
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	582181	583778	-	582979	1.0	1.0
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	1079179	1083166	+	1081172	1.0	1.0
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	1084043	1088158	-	1086100	1.0	1.0
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	1138470	1139687	+	1139078	1.0	1.0
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	1140638	1145946	-	1143292	1.0	1.0
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	1156455	1159673	+	1158064	1.0	1.0
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	1203346	1203963	+	1203654	1.0	1.0
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	1265535	1266161	-	1265848	1.0	1.0
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	1298281	1299273	-	1298777	1.0	1.0
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	1320488	1320880	+	1320684	1.0	0.997
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	1343970	1345588	+	1344779	1.0	1.0
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	1344119	1345486	-	1344802	1.0	1.0
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	1351287	1354566	+	1352926	1.0	1.0
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1577043	1579056	+	1578049	1.0	1.0
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1590932	1591852	+	1591392	1.0	1.0
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1593475	1595202	-	1594338	1.0	1.0
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1596871	1597981	+	1597426	1.0	1.0
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1743755	1745527	+	1744641	1.0	1.0
