cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	234219	29433753	548	0.9999178832116787
Chr6D	32741204	38579793	Chr6D	34552527	42405915	94	0.9997234042553191
Chr6D	41537060	46120294	Chr6D	45353671	49916069	67	0.9994925373134329
Chr6D	49876700	56759409	Chr6D	56688465	64674784	59	0.9998474576271187
Chr6D	64544097	186375773	Chr6D	73119831	194840280	951	0.9996855941114616
Chr6D	188380630	235958205	Chr6D	196850087	244821502	75	0.99992
Chr6D	238222872	248745870	Chr6D	247027036	257539120	15	0.9994666666666667
Chr6D	253451229	261093398	Chr6D	262240002	269862577	12	1.0
Chr6D	263489417	302615547	Chr6D	272253714	313184175	145	0.9991103448275863
Chr6D	304859324	436495956	Chr6D	315421091	446920593	1036	0.9999111969111968
Chr6D	439160889	495303957	Chr6D	449576667	507589878	995	0.9997206030150754
