cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	771631	141386334	1488	0.999685483870968
Chr3A	142385461	192745740	Chr3A	143484998	193863912	221	0.9997601809954751
Chr3A	195861474	263087799	Chr3A	196964210	264965808	205	0.9998341463414636
Chr3A	270762150	278734659	Chr3A	272607233	280549233	12	0.9983333333333334
Chr3A	280899243	284859700	Chr3A	282706630	286642318	6	0.9998333333333336
Chr3A	286968946	294756278	Chr3A	288749484	296518452	7	1.0
Chr3A	300173801	305236714	Chr3A	302593046	307619848	6	1.0
Chr3A	307569651	328087198	Chr3A	309949512	330384403	26	0.999846153846154
Chr3A	331805909	349096037	Chr3A	337570127	354592434	30	0.9993
Chr3A	351562540	354510700	Chr3A	357056932	359990932	8	0.999875
Chr3A	357146906	360275758	Chr3A	362625057	365745394	6	1.0
Chr3A	362401176	754027567	Chr3A	367848898	759246732	3192	0.9997854010025062
