gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	CS_IAAS_tgt_strand	CS_IAAS_tgt_midpoint	CS_IAAS_coverage	CS_IAAS_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	133727	136698	-	135212	1.0	1.0	collinear
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	136710	138586	-	137648	1.0	1.0	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	314764	321416	-	318090	1.0	1.0	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	366394	367963	-	367178	1.0	1.0	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	1046794	1051664	+	1049229	1.0	0.997	collinear
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	1106286	1110719	+	1108502	1.0	1.0	collinear
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	1284187	1286205	-	1285196	1.0	1.0	collinear
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	1312549	1314025	-	1313287	1.0	1.0	collinear
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1318511	1319116	-	1318813	1.0	1.0	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1343926	1345947	+	1344936	1.0	0.997	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1406443	1407380	+	1406911	1.0	1.0	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1414765	1419125	-	1416945	1.0	1.0	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1427390	1432087	+	1429738	1.0	1.0	collinear
