cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	86655	52976383	556	0.995861510791367
Chr4A	58221890	63012222	Chr4A	58243216	63140560	44	0.9935681818181817
Chr4A	70810849	75462409	Chr4A	71046101	75732657	36	0.9932777777777777
Chr4A	81276884	130504034	Chr4A	81988871	131161863	279	0.9943835125448028
Chr4A	132701921	192628546	Chr4A	133218233	193089242	259	0.9986602316602318
Chr4A	195391805	220022826	Chr4A	195842301	220581285	40	0.999775
Chr4A	222107768	222562036	Chr4A	222675047	223141744	3	1.0
Chr4A	225313869	227091476	Chr4A	225953320	227742739	4	0.99975
Chr4A	229493172	240368722	Chr4A	230178021	241088763	17	0.9997647058823531
Chr4A	242512092	242884659	Chr4A	243181363	243553275	3	1.0
Chr4A	329170186	334268011	Chr4A	331593939	336850366	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	341362340	352784273	22	0.999909090909091
Chr4A	352270324	353874280	Chr4A	354917522	356524858	4	0.99975
Chr4A	356554191	359638234	Chr4A	359227448	362294723	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	364745568	368283324	5	0.9892
Chr4A	373805571	387104269	Chr4A	376606043	389936242	15	0.9975333333333333
Chr4A	389242085	390892975	Chr4A	392086660	393726619	3	1.0
Chr4A	395027325	398506001	Chr4A	397861035	401317539	6	1.0
Chr4A	400757887	401303656	Chr4A	403545148	404097542	3	0.999
Chr4A	407610912	416230447	Chr4A	410398520	419008962	10	1.0
Chr4A	418289273	420517232	Chr4A	420922272	423219461	4	0.99975
Chr4A	422761993	508494353	Chr4A	425459904	511250372	411	0.9975620437956205
Chr4A	510639254	641610833	Chr4A	513391962	645153591	1440	0.996192361111111
Chr4A	662457527	666639379	Chr4A	665571476	671395138	34	0.9884117647058822
Chr4A	686530004	696079076	Chr4A	693951393	704425111	76	0.9990263157894739
Chr4A	698429829	704646380	Chr4A	705226078	712862080	55	0.9913636363636364
Chr4A	707248137	711779967	Chr4A	712951156	720194188	50	0.9829400000000001
Chr4A	742076350	744433514	Chr4A	749791616	752674248	7	0.9791428571428572
