cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	17984	141386277	1402	0.9983687589158345
Chr4D	143579930	155648423	Chr4D	144065742	156119643	15	0.9999333333333333
Chr4D	163412513	183387226	Chr4D	163871175	183764297	27	0.9985925925925927
Chr4D	188710899	192736636	Chr4D	189941870	193955929	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	196231149	199819941	7	0.9992857142857143
Chr4D	201443437	212157624	Chr4D	202872837	213921058	28	0.9993214285714285
Chr4D	214312396	228145178	Chr4D	216089394	229857323	22	0.999909090909091
Chr4D	230482531	238626311	Chr4D	232088239	240476673	11	0.9995454545454546
Chr4D	240933419	248933627	Chr4D	242733336	250682095	19	0.9951052631578947
Chr4D	251524682	256552996	Chr4D	253264946	258298314	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	260623700	263030005	6	1.0
Chr4D	263946972	268074619	Chr4D	265726358	269857813	7	0.9984285714285714
Chr4D	270654719	329311457	Chr4D	272430312	331164473	241	0.9989958506224067
Chr4D	331638064	375735889	Chr4D	333484450	377571067	301	0.9992392026578072
Chr4D	377828182	410407878	Chr4D	379636028	412298797	236	0.9989830508474576
Chr4D	412715801	505554072	Chr4D	414786039	508992202	1080	0.9988777777777778
