cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4B	234405	83143343	Chr4B	227143	84836208	796	0.9969861809045226
Chr4B	85363222	144787815	Chr4B	87050845	147319124	357	0.999327731092437
Chr4B	147700447	152088859	Chr4B	152493769	156839753	12	0.9999166666666667
Chr4B	158279534	161625531	Chr4B	160774228	164125336	6	1.0
Chr4B	163837175	203850975	Chr4B	166384690	206456573	181	0.999303867403315
Chr4B	206794132	223387060	Chr4B	209388619	230213253	44	0.9983409090909091
Chr4B	291847773	291890141	Chr4B	301775276	301815924	3	0.9993333333333334
Chr4B	295046802	296948857	Chr4B	304988054	306858534	3	0.9973333333333333
Chr4B	299559143	300937295	Chr4B	309477736	310769520	3	0.9996666666666667
Chr4B	357909130	429353205	Chr4B	371353166	441846088	336	0.9950238095238096
Chr4B	431793129	673534850	Chr4B	444228667	689633816	1801	0.9955891171571349
