cs_chr	Landmark_tgt_chr	n_anchors	Landmark_mean_anchor_gap_Mb	Landmark_interp_type	n_segments	Landmark_mean_anchor_fraction
Chr1A	Chr1A	3864	0.154	linear	1	0.922
Chr1B	Chr1B	4190	0.164	linear	1	0.885
Chr1D	Chr1D	4243	0.117	linear	1	0.962
Chr2A	Chr2A	4869	0.159	linear	1	0.81
Chr2B	Chr2B	5371	0.149	linear	1	0.899
Chr2D	Chr2D	5482	0.119	linear	1	0.961
Chr3A	Chr3A	4830	0.155	linear	1	0.939
Chr3B	Chr3B	5160	0.161	linear	1	0.892
Chr3D	Chr3D	4312	0.143	linear	1	0.834
Chr4A	Chr4A	3406	0.219	linear	1	0.726
Chr4B	Chr4B	3544	0.19	linear	1	0.789
Chr4D	Chr4D	3419	0.148	linear	1	0.978
Chr5A	Chr5A	4947	0.143	linear	1	0.912
Chr5B	Chr5B	5011	0.142	linear	1	0.876
Chr5D	Chr5D	5353	0.106	linear	1	0.97
Chr6A	Chr6A	3608	0.171	linear	1	0.896
Chr6B	Chr6B	3724	0.194	linear	1	0.761
Chr6D	Chr6D	3748	0.126	linear	1	0.951
Chr7A	Chr7A	5069	0.145	linear	1	0.941
Chr7B	Chr7B	3718	0.202	linear	1	0.676
Chr7D	Chr7D	5161	0.124	linear	1	0.966
