cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr6A	25473272	25800198	Chr6A	33036745	33370453	11	0.9935454545454546
Chr6A	26270520	26976543	Chr6A	33852600	34559876	15	0.9977333333333334
Chr6A	57605	162912229	Chr6A	12043	162025191	1378	0.9922053701015965
Chr6A	166503285	172174207	Chr6A	165609821	171327701	29	0.9998620689655173
Chr6A	174450789	233957452	Chr6A	173595297	233000736	204	0.9977401960784313
Chr6A	241266065	242194840	Chr6A	240160916	241003988	3	0.9946666666666667
Chr6A	248542355	252837117	Chr6A	247363235	251615485	8	0.997625
Chr6A	254937051	261705155	Chr6A	253817238	260186769	20	0.9944500000000002
Chr6A	263891514	273262995	Chr6A	262412658	272082869	22	0.9904999999999998
Chr6A	278563106	282137831	Chr6A	277882018	281001194	5	0.9978
Chr6A	286329591	290261504	Chr6A	284366530	290952043	8	0.9975
Chr6A	297672165	317154843	Chr6A	298342758	318189573	22	0.9978636363636363
Chr6A	321270304	324290097	Chr6A	322313503	325304055	8	0.99725
Chr6A	326393120	330049812	Chr6A	327457777	331097244	6	0.997
Chr6A	332183472	344185082	Chr6A	333148772	345488961	16	0.993
Chr6A	346572929	346594380	Chr6A	347875634	347902487	3	0.999
Chr6A	351830716	353340072	Chr6A	353316804	354835561	4	0.99775
Chr6A	355403353	408043029	Chr6A	356808079	408852233	145	0.996606896551724
Chr6A	422327656	426966732	Chr6A	421609954	426048750	18	0.9978888888888888
Chr6A	439667939	526117584	Chr6A	439238259	526230368	584	0.9981489726027399
Chr6A	528949160	617935753	Chr6A	526262797	619025815	1119	0.9938123324396783
Chr6A	409083846	422285828	Chr6A	426090437	438943498	50	0.9964400000000001
Chr6A	427447571	439297571	Chr6A	409914380	421131536	47	0.9962765957446807
Chr6A	615775007	616249906	Chr6A	619195460	619723561	10	0.9841000000000001
