cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr2A	260548731	262575292	Chr2A	250686805	252798903	6	0.9994999999999999
Chr2A	265274570	273294992	Chr2A	240945366	249479560	16	0.9928125000000001
Chr2A	275352399	278919157	Chr2A	235217629	238772775	18	0.9967777777777778
Chr2A	335394528	338546598	Chr2A	330242434	333502966	23	0.9934347826086958
Chr2A	342544978	349739385	Chr2A	359022167	366205134	12	0.9947500000000001
Chr2A	360420161	362444338	Chr2A	371332830	373404654	8	0.9945
Chr2A	254112	233473266	Chr2A	260236	234400603	2088	0.9958117816091955
Chr2A	255910505	257781341	Chr2A	255707222	257523302	5	0.9978
Chr2A	278994740	281746218	Chr2A	279998793	282790538	5	0.9986
Chr2A	283944564	286439768	Chr2A	285121547	287777279	4	0.99775
Chr2A	288988301	293951072	Chr2A	290303585	295190238	7	0.9907142857142858
Chr2A	300399162	306682759	Chr2A	302207201	308659519	8	0.99675
Chr2A	309689781	311156927	Chr2A	311664203	313125423	3	0.9973333333333333
Chr2A	317947462	324619894	Chr2A	320561308	327359913	12	0.9947500000000001
Chr2A	330397956	334887901	Chr2A	334023748	338576794	10	0.9879
Chr2A	340608829	341927845	Chr2A	345097190	346836202	3	0.9983333333333334
Chr2A	350405869	354530162	Chr2A	354203088	358345890	8	0.988875
Chr2A	364470917	395710262	Chr2A	366648261	401976740	99	0.9955555555555554
Chr2A	398507174	398971793	Chr2A	404808539	405296856	3	0.9943333333333334
Chr2A	405468040	486499474	Chr2A	411648971	492916715	267	0.996131086142322
Chr2A	488847564	547776466	Chr2A	495257390	553447630	312	0.9963429487179488
Chr2A	563768705	568310510	Chr2A	569390995	573876686	37	0.9983783783783783
Chr2A	582840575	761027623	Chr2A	588688223	769424805	1929	0.9953613271124935
Chr2A	769342601	774431954	Chr2A	777740020	782333164	65	0.9943846153846152
Chr2A	549288612	563260023	Chr2A	574401609	588368331	107	0.998803738317757
Chr2A	735558351	736036831	Chr2A	756814143	757330554	14	0.9964999999999999
Chr2A	774569513	780777724	Chr2A	769640101	777604618	87	0.9726206896551723
