gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS3D02G000100	Chr3D	325619	325987	-	325803	Chr3D	4091244	4091606	-	4091425	0.98	0.9	collinear
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	4093539	4094159	+	4093849	0.995	0.939	collinear
gene:TraesCS3D02G000400	Chr3D	356416	357339	-	356877	Chr3D	4010869	4011807	+	4011338	1.0	0.96	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	3721348	3722814	-	3722081	0.993	0.945	collinear
gene:TraesCS3D02G001500	Chr3D	770364	773698	+	772031	Chr3D	3696104	3699446	-	3697775	0.977	0.9	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	3691427	3695699	+	3693563	0.977	0.94	collinear
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	3651864	3656871	+	3654367	0.989	0.91	collinear
gene:TraesCS3D02G002900	Chr3D	1279421	1281425	+	1280423	Chr3D	2979222	2981316	-	2980269	0.976	0.91	collinear
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	2803696	2804208	+	2803952	1.0	0.939	collinear
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	2798372	2800676	+	2799524	0.988	0.947	collinear
gene:TraesCS3D02G003700	Chr3D	1634040	1636188	-	1635114	Chr3D	2780708	2782853	+	2781780	0.998	0.956	collinear
gene:TraesCS3D02G003800	Chr3D	1638722	1640647	-	1639684	Chr3D	2776254	2778117	+	2777185	0.937	0.912	collinear
gene:TraesCS3D02G003900	Chr3D	1655945	1659437	+	1657691	Chr3D	2713556	2717099	-	2715327	0.988	0.907	collinear
gene:TraesCS3D02G004100	Chr3D	1733084	1736612	-	1734848	Chr3D	2701470	2705501	+	2703485	0.97	0.922	collinear
gene:TraesCS3D02G004300	Chr3D	1748596	1750441	+	1749518	Chr3D	2690833	2692673	-	2691753	0.991	0.936	collinear
gene:TraesCS3D02G004800	Chr3D	1882953	1883660	+	1883306	Chr3D	2341003	2341709	-	2341356	0.998	0.956	collinear
gene:TraesCS3D02G004900	Chr3D	1889301	1890762	+	1890031	Chr3D	2334588	2336049	-	2335318	0.998	0.979	collinear
gene:TraesCS3D02G005500	Chr3D	2147110	2150436	-	2148773	Chr3D	1759893	1762936	-	1761414	0.972	0.944	collinear
gene:TraesCS3D02G006100	Chr3D	2242930	2243343	-	2243136	Chr3D	2068827	2069240	-	2069033	1.0	0.971	collinear
gene:TraesCS3D02G006600	Chr3D	2308597	2309333	+	2308965	Chr3D	1623461	1624195	-	1623828	0.998	0.93	collinear
gene:TraesCS3D02G007100	Chr3D	2461836	2462258	-	2462047	Chr3D	1538940	1539347	+	1539143	0.964	0.938	collinear
gene:TraesCS3D02G007400	Chr3D	2589848	2597476	+	2593662	Chr3D	1514747	1522367	-	1518557	0.99	0.916	collinear
gene:TraesCS3D02G007500	Chr3D	2600356	2603119	-	2601737	Chr3D	1508516	1511370	+	1509943	1.0	0.966	collinear
gene:TraesCS3D02G007600	Chr3D	2619155	2627987	+	2623571	Chr3D	1473835	1482636	-	1478235	0.974	0.932	collinear
gene:TraesCS3D02G007700	Chr3D	2718295	2718750	+	2718522	Chr3D	1455103	1455552	-	1455327	0.967	0.907	collinear
gene:TraesCS3D02G007800	Chr3D	2720422	2720769	+	2720595	Chr3D	1453331	1453678	-	1453504	1.0	0.942	collinear
gene:TraesCS3D02G010700	Chr3D	3986954	3990965	-	3988959	Chr3D	4315710	4319095	-	4317402	0.979	0.915	collinear
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	4336676	4337682	+	4337179	0.996	0.965	collinear
gene:TraesCS3D02G012000	Chr3D	4179986	4182963	-	4181474	Chr3D	4524639	4527663	-	4526151	1.0	0.952	collinear
gene:TraesCS3D02G012300	Chr3D	4317721	4319482	+	4318601	Chr3D	4554757	4556489	+	4555623	0.982	0.937	collinear
gene:TraesCS3D02G013100	Chr3D	4504881	4506056	+	4505468	Chr3D	4945017	4946172	-	4945594	0.983	0.906	collinear
gene:TraesCS3D02G013700	Chr3D	4956998	4957663	-	4957330	Chr3D	5516500	5517164	-	5516832	1.0	0.958	collinear
gene:TraesCS3D02G014200	Chr3D	4986566	4990029	+	4988297	Chr3D	5459389	5463081	+	5461235	1.0	0.955	collinear
gene:TraesCS3D02G014900	Chr3D	5173752	5176386	-	5175069	Chr3D	10192482	10195095	+	10193788	0.982	0.924	collinear
gene:TraesCS3D02G015300	Chr3D	5406391	5410203	-	5408297	Chr3D	5963263	5967012	-	5965137	0.988	0.906	collinear
gene:TraesCS3D02G015400	Chr3D	5411900	5412617	+	5412258	Chr3D	6115786	6116505	+	6116145	1.0	0.957	collinear
gene:TraesCS3D02G015600	Chr3D	5601666	5605871	-	5603768	Chr3D	6249882	6254000	-	6251941	0.939	0.9	collinear
gene:TraesCS3D02G015900	Chr3D	5649356	5651648	+	5650502	Chr3D	6290049	6292455	+	6291252	1.0	0.953	collinear
gene:TraesCS3D02G016100	Chr3D	5680014	5681497	-	5680755	Chr3D	6318383	6319866	-	6319124	1.0	1.0	collinear
gene:TraesCS3D02G016200	Chr3D	5725298	5726713	+	5726005	Chr3D	6374617	6376032	+	6375324	1.0	1.0	collinear
gene:TraesCS3D02G016300	Chr3D	5733130	5737195	-	5735162	Chr3D	6382449	6386442	-	6384445	1.0	1.0	collinear
gene:TraesCS3D02G016400	Chr3D	5757697	5761111	-	5759404	Chr3D	6406306	6409717	-	6408011	1.0	0.999	collinear
gene:TraesCS3D02G016500	Chr3D	5790619	5794367	+	5792493	Chr3D	6444573	6448389	+	6446481	1.0	1.0	collinear
gene:TraesCS3D02G016600	Chr3D	5802877	5804191	+	5803534	Chr3D	6457253	6458567	+	6457910	1.0	1.0	collinear
gene:TraesCS3D02G016700	Chr3D	5810253	5811188	+	5810720	Chr3D	6464414	6465349	+	6464881	1.0	1.0	collinear
gene:TraesCS3D02G016800	Chr3D	5812552	5813779	-	5813165	Chr3D	6466713	6467940	-	6467326	1.0	0.998	collinear
gene:TraesCS3D02G016900	Chr3D	5814394	5815759	-	5815076	Chr3D	6468555	6469920	-	6469237	1.0	1.0	collinear
gene:TraesCS3D02G017000	Chr3D	5856669	5858004	-	5857336	Chr3D	6510785	6512120	-	6511452	1.0	1.0	collinear
gene:TraesCS3D02G017100	Chr3D	5861814	5863543	+	5862678	Chr3D	6515896	6517625	+	6516760	1.0	1.0	collinear
gene:TraesCS3D02G017200	Chr3D	5864830	5866648	-	5865739	Chr3D	6518912	6520730	-	6519821	1.0	1.0	collinear
gene:TraesCS3D02G017300	Chr3D	5869810	5873304	+	5871557	Chr3D	6523778	6527272	+	6525525	1.0	1.0	collinear
gene:TraesCS3D02G017400	Chr3D	5875424	5880650	-	5878037	Chr3D	6529392	6534618	-	6532005	1.0	0.999	collinear
gene:TraesCS3D02G017500	Chr3D	6009195	6012248	+	6010721	Chr3D	6668746	6671943	+	6670344	1.0	1.0	collinear
gene:TraesCS3D02G017600	Chr3D	6013194	6015417	-	6014305	Chr3D	6672891	6675114	-	6674002	1.0	1.0	collinear
gene:TraesCS3D02G017700	Chr3D	6016878	6020801	-	6018839	Chr3D	6676575	6680498	-	6678536	1.0	1.0	collinear
gene:TraesCS3D02G017800	Chr3D	6021794	6023847	-	6022820	Chr3D	6681491	6683544	-	6682517	1.0	1.0	collinear
gene:TraesCS3D02G017900	Chr3D	6030116	6034026	+	6032071	Chr3D	6689813	6693485	+	6691649	1.0	1.0	collinear
gene:TraesCS3D02G018000	Chr3D	6060901	6068841	+	6064871	Chr3D	6719184	6727124	+	6723154	1.0	1.0	collinear
gene:TraesCS3D02G018100	Chr3D	6140574	6142644	+	6141609	Chr3D	6796943	6799013	+	6797978	1.0	1.0	collinear
gene:TraesCS3D02G018200	Chr3D	6146779	6149852	-	6148315	Chr3D	6803150	6806223	-	6804686	1.0	1.0	collinear
gene:TraesCS3D02G018300	Chr3D	6167260	6169993	-	6168626	Chr3D	6823631	6826364	-	6824997	1.0	1.0	collinear
gene:TraesCS3D02G018400	Chr3D	6176969	6180284	-	6178626	Chr3D	6833340	6836655	-	6834997	1.0	1.0	collinear
gene:TraesCS3D02G018500	Chr3D	6193030	6193813	+	6193421	Chr3D	6849401	6850184	+	6849792	1.0	0.998	collinear
gene:TraesCS3D02G018600	Chr3D	6195940	6197761	-	6196850	Chr3D	6852311	6854132	-	6853221	1.0	1.0	collinear
gene:TraesCS3D02G018700	Chr3D	6332694	6338567	+	6335630	Chr3D	6988003	6993876	+	6990939	1.0	1.0	collinear
gene:TraesCS3D02G018800	Chr3D	6339983	6345137	-	6342560	Chr3D	6995292	7000486	-	6997889	1.0	1.0	collinear
gene:TraesCS3D02G018900	Chr3D	6402986	6406703	-	6404844	Chr3D	7062877	7066594	-	7064735	1.0	1.0	collinear
gene:TraesCS3D02G019000	Chr3D	6409208	6414977	+	6412092	Chr3D	7069099	7074666	+	7071882	1.0	1.0	collinear
gene:TraesCS3D02G019100	Chr3D	6424580	6426506	-	6425543	Chr3D	7084749	7086675	-	7085712	1.0	1.0	collinear
gene:TraesCS3D02G019200	Chr3D	6429393	6431005	+	6430199	Chr3D	7089562	7091174	+	7090368	1.0	0.999	collinear
gene:TraesCS3D02G019300	Chr3D	6454547	6456104	-	6455325	Chr3D	7114719	7116276	-	7115497	1.0	0.999	collinear
gene:TraesCS3D02G019400	Chr3D	6459775	6460973	-	6460374	Chr3D	7119874	7121072	-	7120473	1.0	1.0	collinear
gene:TraesCS3D02G019500	Chr3D	6465027	6465890	-	6465458	Chr3D	7124922	7125785	-	7125353	1.0	0.998	collinear
gene:TraesCS3D02G019600	Chr3D	6529685	6529972	-	6529828	Chr3D	7195021	7195308	-	7195164	1.0	1.0	collinear
gene:TraesCS3D02G019700	Chr3D	6661700	6666999	+	6664349	Chr3D	7326965	7332264	+	7329614	1.0	0.999	collinear
gene:TraesCS3D02G019800	Chr3D	6676491	6678131	+	6677311	Chr3D	7341756	7343396	+	7342576	1.0	0.999	collinear
gene:TraesCS3D02G019900	Chr3D	6726405	6730004	+	6728204	Chr3D	7391593	7395191	+	7393392	1.0	0.999	collinear
gene:TraesCS3D02G020000	Chr3D	6730187	6733680	-	6731933	Chr3D	7395374	7398867	-	7397120	1.0	1.0	collinear
gene:TraesCS3D02G020100	Chr3D	6737975	6739045	-	6738510	Chr3D	7403165	7404235	-	7403700	1.0	1.0	collinear
gene:TraesCS3D02G020200	Chr3D	6745804	6753986	+	6749895	Chr3D	7410820	7419002	+	7414911	1.0	1.0	collinear
gene:TraesCS3D02G020300	Chr3D	6754571	6754816	+	6754693	Chr3D	7419587	7419832	+	7419709	1.0	1.0	collinear
gene:TraesCS3D02G020400	Chr3D	6860952	6863358	-	6862155	Chr3D	7528527	7530933	-	7529730	1.0	1.0	collinear
gene:TraesCS3D02G020500	Chr3D	6949696	6950286	+	6949991	Chr3D	7628963	7629553	+	7629258	1.0	1.0	collinear
gene:TraesCS3D02G020600	Chr3D	6967976	6969806	+	6968891	Chr3D	7647470	7649300	+	7648385	1.0	1.0	collinear
gene:TraesCS3D02G020700	Chr3D	6971034	6972707	-	6971870	Chr3D	7650528	7652201	-	7651364	1.0	1.0	collinear
gene:TraesCS3D02G020800	Chr3D	6974954	6977481	+	6976217	Chr3D	7654447	7656974	+	7655710	1.0	1.0	collinear
gene:TraesCS3D02G021000	Chr3D	7019184	7020276	+	7019730	Chr3D	7698627	7699719	+	7699173	1.0	1.0	collinear
gene:TraesCS3D02G021100	Chr3D	7022394	7023338	-	7022866	Chr3D	7701837	7702781	-	7702309	1.0	1.0	collinear
gene:TraesCS3D02G021200	Chr3D	7028152	7028934	+	7028543	Chr3D	7707334	7708116	+	7707725	1.0	1.0	collinear
gene:TraesCS3D02G021300	Chr3D	7031159	7034403	-	7032781	Chr3D	7710341	7713585	-	7711963	1.0	1.0	collinear
gene:TraesCS3D02G021400	Chr3D	7089626	7090567	-	7090096	Chr3D	7770034	7770975	-	7770504	1.0	1.0	collinear
gene:TraesCS3D02G021500	Chr3D	7094080	7094604	+	7094342	Chr3D	7774488	7775012	+	7774750	1.0	1.0	collinear
gene:TraesCS3D02G021600	Chr3D	7102512	7107200	-	7104856	Chr3D	7782921	7787609	-	7785265	1.0	1.0	collinear
gene:TraesCS3D02G021700	Chr3D	7122252	7124816	-	7123534	Chr3D	7802635	7805199	-	7803917	1.0	1.0	collinear
gene:TraesCS3D02G021900	Chr3D	7165483	7168646	+	7167064	Chr3D	7822401	7825403	+	7823902	1.0	1.0	collinear
gene:TraesCS3D02G022000	Chr3D	7171959	7173620	+	7172789	Chr3D	7828716	7830377	+	7829546	1.0	0.999	collinear
gene:TraesCS3D02G022100	Chr3D	7177346	7178987	+	7178166	Chr3D	7834103	7835744	+	7834923	1.0	1.0	collinear
