cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	167801196	181984886	77	0.993948051948052
Chr7B	172575428	278933515	Chr7B	184821882	291209130	405	0.9984320987654322
Chr7B	281386105	293981562	Chr7B	293705082	307889368	20	0.9994
Chr7B	297390309	307364806	Chr7B	314716075	324733022	19	0.9998947368421053
Chr7B	312814982	340640628	Chr7B	156915376	353406592	97	0.997020618556701
Chr7B	342994491	353630589	Chr7B	341813382	365548258	12	0.9993333333333334
Chr7B	355803445	357646983	Chr7B	347735579	349535960	4	1.0
Chr7B	34838	154814815	Chr7B	1948	156337150	1187	0.9963706823925863
Chr7B	311510484	312442469	Chr7B	312886301	313825199	4	1.0
Chr7B	337929275	339223535	Chr7B	340088775	341294451	3	1.0
Chr7B	357994137	389109218	Chr7B	355720566	391512214	133	0.9988796992481203
Chr7B	391956637	405970176	Chr7B	394341981	408431152	52	0.9997115384615386
Chr7B	408568404	419042240	Chr7B	411028205	421611446	45	0.9964222222222222
Chr7B	421064524	541167218	Chr7B	423603465	545259408	758	0.9971451187335093
Chr7B	543188151	736138668	Chr7B	547379076	745407390	1462	0.9924295485636113
Chr7B	739384559	750590753	Chr7B	745495565	756994262	70	0.958457142857143
