cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr5B	18796	74684818	Chr5B	269725	77436917	570	0.9950736842105263
Chr5B	77670330	149330732	Chr5B	78406635	149953502	386	0.9975440414507772
Chr5B	152509380	167292122	Chr5B	153097579	167894651	26	0.9977307692307693
Chr5B	191960322	192381573	Chr5B	193070459	193509068	3	0.9993333333333334
Chr5B	202891999	207588093	Chr5B	204907368	209612491	10	0.9984000000000002
Chr5B	219089253	236283952	Chr5B	216826509	241017352	66	0.9964696969696969
Chr5B	238316269	257532817	Chr5B	242835800	261624492	78	0.9988846153846154
Chr5B	259539413	341562322	Chr5B	263607954	346211280	497	0.9975251509054327
Chr5B	343826709	383208800	Chr5B	348461509	387956475	212	0.99763679245283
Chr5B	386333053	412688052	Chr5B	388255119	414458328	198	0.9962929292929291
Chr5B	414828778	699730340	Chr5B	414911589	698888240	2818	0.9945727466288148
Chr5B	704074687	711914201	Chr5B	700779843	710260408	146	0.9973082191780822
