cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr1B	30395529	30881192	Chr1B	22071248	22601283	10	0.9986
Chr1B	222286062	223795187	Chr1B	233983340	235477327	5	0.9998000000000001
Chr1B	230033225	231641237	Chr1B	226141113	227756299	4	1.0
Chr1B	234252905	235898148	Chr1B	221791351	223514775	3	0.997
Chr1B	712634	29492353	Chr1B	22887	28127112	381	0.9907086614173228
Chr1B	31858804	76138867	Chr1B	29319467	75908544	287	0.9892961672473868
Chr1B	80845990	85441230	Chr1B	81070077	85630569	15	0.9866666666666666
Chr1B	87732453	218433567	Chr1B	87778682	218262957	578	0.9976401384083045
Chr1B	225799645	229303069	Chr1B	228487032	231981187	5	0.998
Chr1B	236954041	242739682	Chr1B	237027316	245697706	10	0.9999
Chr1B	256200870	257502047	Chr1B	260409888	261711368	4	0.99125
Chr1B	266097456	289694136	Chr1B	271033478	295051893	82	0.9987073170731708
Chr1B	292342566	292422556	Chr1B	297667243	297757316	5	0.9945999999999999
Chr1B	294946215	314741626	Chr1B	300238255	323368786	67	0.9888955223880597
Chr1B	317013382	317917199	Chr1B	326318213	327226151	4	0.961
Chr1B	322108938	688707404	Chr1B	328299077	697560098	2750	0.9950527272727273
Chr1B	687401892	687797032	Chr1B	692365569	692665459	7	0.9807142857142856
Chr1B	688238174	689851652	Chr1B	691631737	691944992	5	0.9908000000000001
