cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr6D	43783	28941573	Chr6D	88791	36347096	586	0.9986331058020479
Chr6D	31725191	35020936	Chr6D	36404276	39714198	48	0.9994999999999999
Chr6D	38565372	46873994	Chr6D	44936710	55237669	65	0.9985076923076924
Chr6D	48971286	164765103	Chr6D	55902866	174023235	876	0.9987819634703197
Chr6D	166779487	214550301	Chr6D	176004129	224105044	73	0.9986712328767122
Chr6D	216846232	227401287	Chr6D	227270297	237824120	15	0.9988
Chr6D	232122220	239805311	Chr6D	242537440	250186084	12	0.9940833333333333
Chr6D	242219199	280904417	Chr6D	252633355	291712206	139	0.9988705035971225
Chr6D	283156017	415028218	Chr6D	293963487	425822542	1004	0.9991254980079682
Chr6D	417690848	473516145	Chr6D	428512539	484480070	929	0.9972109795479009
