gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS2A02G229400	Chr2A	258345594	258361280	-	258353437	Chr2A	255124347	255140034	+	255132190	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G229500	Chr2A	260548158	260549304	+	260548731	Chr2A	252798330	252799476	-	252798903	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G229600	Chr2A	261172024	261184591	-	261178307	Chr2A	252124594	252137052	+	252130823	0.999	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G229800	Chr2A	262039521	262040567	-	262040044	Chr2A	251245163	251246209	+	251245686	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G229900	Chr2A	262117287	262118772	-	262118029	Chr2A	251167342	251168827	+	251168084	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230000	Chr2A	262160820	262170997	-	262165908	Chr2A	251111081	251126863	+	251118972	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230100	Chr2A	262573269	262577316	+	262575292	Chr2A	250684782	250688829	-	250686805	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230400	Chr2A	265273670	265275471	-	265274570	Chr2A	249478660	249480461	+	249479560	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230500	Chr2A	265332236	265332517	+	265332376	Chr2A	249433615	249433896	-	249433755	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G230600	Chr2A	266906809	266907210	-	266907009	Chr2A	247722161	247722562	+	247722361	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G230700	Chr2A	267884761	267896324	-	267890542	Chr2A	246719808	246731378	+	246725593	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G230800	Chr2A	267981192	267982130	+	267981661	Chr2A	246617115	246618053	-	246617584	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G230900	Chr2A	268558751	268560646	-	268559698	Chr2A	246034307	246036202	+	246035254	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G231000	Chr2A	268985970	268995536	+	268990753	Chr2A	245601874	245611580	-	245606727	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G231100	Chr2A	269267246	269268081	-	269267663	Chr2A	245331719	245332554	+	245332136	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231200	Chr2A	270290708	270299576	-	270295142	Chr2A	244248276	244257141	+	244252708	1.0	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A02G231300	Chr2A	270464249	270470226	+	270467237	Chr2A	244068814	244074712	-	244071763	0.929	0.927	rearrangement:Chr2A_block1
gene:TraesCS2A02G231400	Chr2A	271879174	271881476	-	271880325	Chr2A	242469165	242471467	+	242470316	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A02G231500	Chr2A	271893131	271909842	+	271901486	Chr2A	242440548	242457005	-	242448776	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231600	Chr2A	271909726	271912201	-	271910963	Chr2A	242438170	242440664	+	242439417	0.999	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G231700	Chr2A	272926478	272929988	-	272928233	Chr2A	241344738	241348243	+	241346490	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G231800	Chr2A	273047719	273049603	+	273048661	Chr2A	241211987	241213871	-	241212929	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G231900	Chr2A	273287626	273302359	-	273294992	Chr2A	240938039	240952694	+	240945366	0.996	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A02G232000	Chr2A	275352218	275352580	+	275352399	Chr2A	238772594	238772956	-	238772775	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G232100	Chr2A	275352365	275352616	-	275352490	Chr2A	238772558	238772809	+	238772683	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G232200	Chr2A	275928473	275935089	-	275931781	Chr2A	238202772	238209388	+	238206080	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G232300	Chr2A	276273181	276273787	+	276273484	Chr2A	237823712	237824318	-	237824015	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G232400	Chr2A	276276336	276279155	-	276277745	Chr2A	237818297	237821120	+	237819708	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G232500	Chr2A	276441802	276442053	+	276441927	Chr2A	237653005	237653256	-	237653130	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A02G232600	Chr2A	276442206	276442322	+	276442264	Chr2A	237652735	237652851	-	237652793	1.0	0.991	rearrangement:Chr2A_block1
gene:TraesCS2A02G232700	Chr2A	276858833	276859271	+	276859052	Chr2A	237224834	237225272	-	237225053	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A02G232800	Chr2A	277136651	277138793	-	277137722	Chr2A	236949933	236952075	+	236951004	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G232900	Chr2A	277598060	277604074	+	277601067	Chr2A	236489014	236495029	-	236492021	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G233000	Chr2A	277603305	277607994	-	277605649	Chr2A	236485094	236489783	+	236487438	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G233100	Chr2A	277610633	277614709	-	277612671	Chr2A	236478378	236482454	+	236480416	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A02G233200	Chr2A	278344103	278344420	+	278344261	Chr2A	235787818	235788135	-	235787976	1.0	0.993	rearrangement:Chr2A_block1
gene:TraesCS2A02G233300	Chr2A	278414812	278420058	-	278417435	Chr2A	235704581	235709826	+	235707203	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A02G233400	Chr2A	278445853	278467939	-	278456896	Chr2A	235659918	235681005	+	235670461	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G233500	Chr2A	278903600	278908276	-	278905938	Chr2A	235228999	235233672	+	235231335	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G233600	Chr2A	278909045	278911320	-	278910182	Chr2A	235225955	235228230	+	235227092	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A02G233700	Chr2A	278915285	278923029	-	278919157	Chr2A	235213757	235221501	+	235217629	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A02G240300	Chr2A	335393029	335396028	+	335394528	Chr2A	333501467	333504466	-	333502966	1.0	0.997	rearrangement:Chr2A_block2
gene:TraesCS2A02G240400	Chr2A	335804503	335804874	-	335804688	Chr2A	333135063	333135434	+	333135248	1.0	0.991	rearrangement:Chr2A_block2
gene:TraesCS2A02G240600	Chr2A	335819071	335819310	-	335819190	Chr2A	333137359	333137598	+	333137478	1.0	0.97	rearrangement:Chr2A_block2
gene:TraesCS2A02G240500	Chr2A	335818512	335823693	+	335821102	Chr2A	333116477	333121658	-	333119067	1.0	0.993	rearrangement:Chr2A_block2
gene:TraesCS2A02G240700	Chr2A	335821235	335821606	-	335821420	Chr2A	333118564	333118935	+	333118749	1.0	0.997	rearrangement:Chr2A_block2
gene:TraesCS2A02G240800	Chr2A	335825182	335825301	-	335825241	Chr2A	333114869	333114988	+	333114928	1.0	0.991	rearrangement:Chr2A_block2
gene:TraesCS2A02G240900	Chr2A	335825312	335825562	-	335825437	Chr2A	333114608	333114858	+	333114733	1.0	0.987	rearrangement:Chr2A_block2
gene:TraesCS2A02G241000	Chr2A	335826549	335826670	-	335826609	Chr2A	333113501	333113622	+	333113561	1.0	0.983	rearrangement:Chr2A_block2
gene:TraesCS2A02G241100	Chr2A	335826693	335826806	+	335826749	Chr2A	333113365	333113478	-	333113421	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241200	Chr2A	335826985	335827098	+	335827041	Chr2A	333113072	333113185	-	333113128	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241400	Chr2A	335829027	335829419	-	335829223	Chr2A	333110911	333111303	+	333111107	1.0	0.994	rearrangement:Chr2A_block2
gene:TraesCS2A02G241600	Chr2A	335830275	335830468	-	335830371	Chr2A	333110142	333110335	+	333110238	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G241700	Chr2A	335831613	335832664	+	335832138	Chr2A	333107980	333109031	-	333108505	1.0	0.992	rearrangement:Chr2A_block2
gene:TraesCS2A02G242100	Chr2A	335839117	335839278	+	335839197	Chr2A	333101364	333101525	-	333101444	1.0	0.993	rearrangement:Chr2A_block2
gene:TraesCS2A02G242200	Chr2A	335843890	335844066	-	335843978	Chr2A	333096579	333096755	+	333096667	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A02G242300	Chr2A	335844126	335844380	-	335844253	Chr2A	333096265	333096519	+	333096392	1.0	0.992	rearrangement:Chr2A_block2
gene:TraesCS2A02G242400	Chr2A	335848335	335848879	+	335848607	Chr2A	333091769	333092313	-	333092041	1.0	0.997	rearrangement:Chr2A_block2
gene:TraesCS2A02G242500	Chr2A	337663688	337670268	+	337666978	Chr2A	331252580	331259162	-	331255871	1.0	0.998	rearrangement:Chr2A_block2
gene:TraesCS2A02G242600	Chr2A	337721632	337723055	+	337722343	Chr2A	330924001	330925424	-	330924712	1.0	0.994	rearrangement:Chr2A_block2
gene:TraesCS2A02G242700	Chr2A	337859586	337862860	+	337861223	Chr2A	331206182	331209456	-	331207819	1.0	0.998	rearrangement:Chr2A_block2
gene:TraesCS2A02G242800	Chr2A	338279491	338280635	+	338280063	Chr2A	330523032	330524176	-	330523604	1.0	0.994	rearrangement:Chr2A_block2
gene:TraesCS2A02G242900	Chr2A	338517188	338522392	+	338519790	Chr2A	330266265	330271468	-	330268866	1.0	0.998	rearrangement:Chr2A_block2
gene:TraesCS2A02G243000	Chr2A	338545715	338547482	+	338546598	Chr2A	330241551	330243318	-	330242434	1.0	0.99	rearrangement:Chr2A_block2
gene:TraesCS2A02G243400	Chr2A	342542932	342547024	-	342544978	Chr2A	366203088	366207180	+	366205134	1.0	0.999	rearrangement:Chr2A_block3
gene:TraesCS2A02G243500	Chr2A	342645279	342649755	-	342647517	Chr2A	366102076	366106443	+	366104259	1.0	0.971	rearrangement:Chr2A_block3
gene:TraesCS2A02G243600	Chr2A	343417184	343419557	+	343418370	Chr2A	365343856	365346228	-	365345042	1.0	0.996	rearrangement:Chr2A_block3
gene:TraesCS2A02G243700	Chr2A	343444970	343445803	-	343445386	Chr2A	365317577	365318410	+	365317993	1.0	0.998	rearrangement:Chr2A_block3
gene:TraesCS2A02G243800	Chr2A	344447847	344450383	+	344449115	Chr2A	364342723	364345259	-	364343991	1.0	0.997	rearrangement:Chr2A_block3
gene:TraesCS2A02G243900	Chr2A	345461885	345462175	-	345462030	Chr2A	363352708	363352998	+	363352853	1.0	0.993	rearrangement:Chr2A_block3
gene:TraesCS2A02G244000	Chr2A	345477820	345496291	+	345487055	Chr2A	363316064	363337069	-	363326566	1.0	0.999	rearrangement:Chr2A_block3
gene:TraesCS2A02G244100	Chr2A	346203235	346211680	+	346207457	Chr2A	362590212	362598657	-	362594434	1.0	0.998	rearrangement:Chr2A_block3
gene:TraesCS2A02G244200	Chr2A	348089209	348093743	-	348091476	Chr2A	360699985	360704521	+	360702253	1.0	0.999	rearrangement:Chr2A_block3
gene:TraesCS2A02G244300	Chr2A	348245733	348246443	-	348246088	Chr2A	360535388	360536098	+	360535743	1.0	1.0	rearrangement:Chr2A_block3
gene:TraesCS2A02G244509	Chr2A	349721024	349721497	+	349721260	Chr2A	359040017	359040490	-	359040253	1.0	0.993	rearrangement:Chr2A_block3
gene:TraesCS2A02G244600	Chr2A	349739300	349739470	-	349739385	Chr2A	359022082	359022252	+	359022167	1.0	0.994	rearrangement:Chr2A_block3
gene:TraesCS2A02G246100	Chr2A	360414893	360425430	+	360420161	Chr2A	373399386	373409923	-	373404654	1.0	0.998	rearrangement:Chr2A_block4
gene:TraesCS2A02G246200	Chr2A	360428438	360436954	-	360432696	Chr2A	373387866	373396380	+	373392123	0.998	0.996	rearrangement:Chr2A_block4
gene:TraesCS2A02G246300	Chr2A	360738362	360748707	+	360743534	Chr2A	373077248	373087592	-	373082420	1.0	0.999	rearrangement:Chr2A_block4
gene:TraesCS2A02G246400	Chr2A	360749773	360750993	-	360750383	Chr2A	373074962	373076182	+	373075572	1.0	1.0	rearrangement:Chr2A_block4
gene:TraesCS2A02G246600	Chr2A	360868372	360871806	+	360870089	Chr2A	372955751	372959175	-	372957463	0.995	0.994	rearrangement:Chr2A_block4
gene:TraesCS2A02G246700	Chr2A	361380371	361385861	+	361383116	Chr2A	372414249	372419739	-	372416994	1.0	0.998	rearrangement:Chr2A_block4
gene:TraesCS2A02G246800	Chr2A	362043105	362055121	+	362049113	Chr2A	371726975	371739049	-	371733012	0.996	0.995	rearrangement:Chr2A_block4
gene:TraesCS2A02G246900	Chr2A	362432976	362455700	-	362444338	Chr2A	371321657	371344004	+	371332830	1.0	0.976	rearrangement:Chr2A_block4
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	255962	264510	+	260236	0.999	0.999	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	264953	269102	-	267027	1.0	0.998	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	278407	279350	-	278878	1.0	0.998	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	285126	295239	+	290182	0.996	0.996	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	332134	333134	-	332634	1.0	1.0	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	395574	397751	+	396662	1.0	0.999	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	402510	407307	-	404908	0.995	0.994	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	478951	480016	-	479483	1.0	1.0	collinear
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	505892	509501	+	507696	1.0	1.0	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	518405	521991	+	520198	1.0	0.999	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	530904	534247	+	532575	1.0	0.999	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	534864	538616	-	536740	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	541198	544107	+	542652	1.0	1.0	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	570501	573416	-	571958	1.0	1.0	collinear
gene:TraesCS2A02G001500	Chr2A	580888	585420	-	583154	Chr2A	588478	593010	-	590744	1.0	0.998	collinear
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	665137	667226	+	666181	1.0	1.0	collinear
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	668938	671293	+	670115	1.0	0.997	collinear
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	721181	722002	+	721591	1.0	0.997	collinear
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	752176	753049	+	752612	1.0	1.0	collinear
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	825203	825959	+	825581	1.0	0.996	collinear
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	1240763	1242366	-	1241564	1.0	1.0	collinear
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	1438990	1440018	-	1439504	1.0	1.0	collinear
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	1444797	1456372	-	1450584	1.0	0.976	collinear
gene:TraesCS2A02G002600	Chr2A	1608666	1609163	+	1608914	Chr2A	1682471	1682968	+	1682719	1.0	1.0	collinear
gene:TraesCS2A02G002700	Chr2A	1685582	1687293	+	1686437	Chr2A	1763040	1764751	+	1763895	1.0	0.999	collinear
gene:TraesCS2A02G003000	Chr2A	1857935	1863412	-	1860673	Chr2A	1807040	1812486	-	1809763	1.0	1.0	collinear
gene:TraesCS2A02G003100	Chr2A	1871479	1877682	+	1874580	Chr2A	1820251	1826623	+	1823437	1.0	1.0	collinear
gene:TraesCS2A02G003400	Chr2A	2273380	2274666	-	2274023	Chr2A	1976746	1978032	-	1977389	1.0	0.997	collinear
gene:TraesCS2A02G003600	Chr2A	2321343	2325578	+	2323460	Chr2A	2023989	2028224	+	2026106	1.0	0.999	collinear
gene:TraesCS2A02G003700	Chr2A	2331523	2337129	+	2334326	Chr2A	2034148	2039754	+	2036951	1.0	0.999	collinear
gene:TraesCS2A02G003800	Chr2A	2352114	2353022	-	2352568	Chr2A	2054389	2055297	-	2054843	1.0	1.0	collinear
gene:TraesCS2A02G004100	Chr2A	2366335	2367372	+	2366853	Chr2A	2068685	2069722	+	2069203	1.0	1.0	collinear
gene:TraesCS2A02G003900	Chr2A	2355896	2382397	+	2369146	Chr2A	2058149	2084910	+	2071529	1.0	0.999	collinear
gene:TraesCS2A02G004200	Chr2A	2373231	2377514	-	2375372	Chr2A	2075744	2080027	-	2077885	1.0	1.0	collinear
