gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	332664	337113	-	334888	1.0	1.0
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	366739	370456	+	368597	1.0	1.0
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	462099	462937	+	462518	1.0	1.0
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	491337	495201	-	493269	1.0	0.995
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	497304	498594	-	497949	1.0	1.0
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	604523	608423	-	606473	1.0	1.0
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	835877	838828	-	837352	1.0	0.989
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1127415	1133615	-	1130515	1.0	1.0
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1160647	1164104	-	1162375	1.0	0.999
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1222513	1223700	-	1223106	1.0	1.0
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1234335	1237311	-	1235823	0.992	0.99
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1271063	1284026	-	1277544	0.996	0.996
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1335898	1337514	-	1336706	1.0	1.0
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1406497	1408001	-	1407249	1.0	1.0
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1409003	1414577	-	1411790	1.0	1.0
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1457074	1471446	+	1464260	1.0	1.0
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	1474041	1475249	+	1474645	1.0	1.0
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	1506185	1511643	+	1508914	1.0	1.0
