cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr6D	52671	27630303	Chr6D	1679098	27766759	505	0.997910891089109
Chr6D	32741204	38579793	Chr6D	32718966	40767714	92	0.999554347826087
Chr6D	41537060	46120294	Chr6D	42908809	47516087	67	0.999134328358209
Chr6D	49876700	56759409	Chr6D	52396156	59377788	58	0.9995
Chr6D	64544097	186375773	Chr6D	66928051	190693723	943	0.9991898197242842
Chr6D	188380630	235958205	Chr6D	192695288	239911118	75	0.9997733333333334
Chr6D	238222872	248745870	Chr6D	242512577	252995225	15	0.9993333333333333
Chr6D	253451229	261093398	Chr6D	257751623	265458757	12	0.9993333333333334
Chr6D	263489417	302615547	Chr6D	267881436	307032599	141	0.9984609929078013
Chr6D	304859324	436495956	Chr6D	309278510	441953833	1019	0.9993807654563297
Chr6D	439160889	493535310	Chr6D	444650089	499370149	898	0.9967048997772829
Chr6D	343344130	344024142	Chr6D	400629469	401338321	6	1.0
Chr6D	493622461	495303957	Chr6D	113117	1576882	41	0.9918292682926829
