cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr3D	301138509	311201346	Chr3D	323991220	333957667	42	0.9992857142857142
Chr3D	316549521	324274745	Chr3D	310762094	318591122	62	0.9996612903225808
Chr3D	111986	116955327	Chr3D	429363	120529910	1449	0.9989772256728778
Chr3D	119094314	145655212	Chr3D	122652921	149508124	160	0.99966875
Chr3D	147725835	194192900	Chr3D	151577706	198496524	261	0.9995325670498084
Chr3D	197544325	200969144	Chr3D	201849560	205333118	5	0.9998000000000001
Chr3D	203187169	203224239	Chr3D	207753780	207790365	4	1.0
Chr3D	207531742	214535149	Chr3D	212117316	219151166	11	0.999909090909091
Chr3D	216957444	220088873	Chr3D	221579786	224722771	6	0.9996666666666667
Chr3D	226016244	232933791	Chr3D	230735523	237681616	13	0.9991538461538462
Chr3D	235055553	240013852	Chr3D	242072777	249150458	8	0.999625
Chr3D	242050030	258632836	Chr3D	251341887	268527440	33	0.9997878787878789
Chr3D	260879965	300548312	Chr3D	270674145	310597103	141	0.9981063829787234
Chr3D	311499593	316287918	Chr3D	318861931	323683647	33	0.9999393939393941
Chr3D	324846701	492833467	Chr3D	334968666	504415473	1383	0.999117136659436
Chr3D	495347019	571894878	Chr3D	507000664	583576779	870	0.9991436781609195
Chr3D	574320863	619489515	Chr3D	583726576	627061422	698	0.9965687679083095
