cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr1A	79742	161541694	Chr1A	22961	160722346	1126	0.994511545293073
Chr1A	163678239	179426534	Chr1A	162919710	178866619	31	0.9990967741935484
Chr1A	181647298	184244993	Chr1A	180978356	183479179	5	0.9996
Chr1A	187212146	195578524	Chr1A	186535144	194751643	11	0.9997272727272728
Chr1A	202719482	204217307	Chr1A	201805741	203292097	5	0.9988
Chr1A	206439950	211446295	Chr1A	205579197	210652981	8	0.999875
Chr1A	214015968	411777219	Chr1A	213613628	419007475	910	0.9963483516483516
Chr1A	415385177	422384517	Chr1A	421466158	430115716	22	0.9964545454545454
Chr1A	425019660	549266979	Chr1A	431948423	555904168	1226	0.9945840130505712
Chr1A	556229032	562876995	Chr1A	556285715	563024063	84	0.9939404761904762
Chr1A	566946561	570822060	Chr1A	567203826	571100775	29	0.9927586206896551
Chr1A	575760323	598556974	Chr1A	582417905	604807053	309	0.9933915857605176
