cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr2B	963888	5865626	Chr2B	640651	4834999	59	0.9943389830508474
Chr2B	8677166	131021009	Chr2B	4903420	126629004	1162	0.9929870912220311
Chr2B	137271666	210988464	Chr2B	127788248	201343554	562	0.9961548042704625
Chr2B	250482935	283157104	Chr2B	238898211	271958963	142	0.9991126760563382
Chr2B	285496966	304609294	Chr2B	274164563	300628515	29	0.9993103448275862
Chr2B	307417042	310240678	Chr2B	302322896	305198824	4	0.99925
Chr2B	318431746	331681179	Chr2B	307452610	320284932	17	0.9998823529411766
Chr2B	333809245	346552298	Chr2B	322416283	335089209	20	0.9999
Chr2B	348999066	355740303	Chr2B	337577056	344189749	9	1.0
Chr2B	360481133	363706950	Chr2B	350551309	356388483	4	1.0
Chr2B	365734406	372285445	Chr2B	358761993	365453721	35	0.9994285714285716
Chr2B	378164200	382894960	Chr2B	371639551	376415810	16	0.9996875000000001
Chr2B	388897947	812652981	Chr2B	382210313	805435089	3104	0.9944490979381445
