cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr7A	130186771	132460824	Chr7A	175632213	177937464	41	0.9968780487804878
Chr7A	150446304	158329336	Chr7A	178710491	187455848	57	0.9954385964912281
Chr7A	176812931	183065273	Chr7A	187684805	193599023	42	0.9943333333333333
Chr7A	175236498	177718876	Chr7A	148049837	150191621	19	0.9931052631578947
Chr7A	183077942	191786235	Chr7A	150982515	160161764	51	0.9998823529411764
Chr7A	239033	74955432	Chr7A	301686	75488909	834	0.990630695443645
Chr7A	77011021	129805453	Chr7A	77087092	130507994	500	0.996524
Chr7A	132528909	149795904	Chr7A	130667403	147301064	130	0.9941230769230769
Chr7A	159024101	174598515	Chr7A	160269259	175583321	128	0.9943046874999999
Chr7A	192203231	316231457	Chr7A	193715078	318115906	597	0.9977604690117253
Chr7A	318780197	364830171	Chr7A	320636686	366584518	82	0.9992682926829268
Chr7A	367537951	393376082	Chr7A	371782891	397636967	37	0.9996486486486489
Chr7A	396497557	744483656	Chr7A	400828754	747296503	2459	0.9951309475396503
