cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr2A	3917667	245450318	Chr2A	42633	239367146	2105	0.9976418052256532
Chr2A	253743190	256655987	Chr2A	247810651	250775075	6	0.9996666666666668
Chr2A	260439994	262863052	Chr2A	254658710	257145465	8	0.99975
Chr2A	265047681	267066623	Chr2A	259390514	261413171	7	0.9998571428571428
Chr2A	269745498	277781081	Chr2A	264118067	272174088	16	0.99925
Chr2A	279829079	286214975	Chr2A	274246921	280500631	23	0.9997391304347826
Chr2A	288400047	290885926	Chr2A	282675806	285185339	5	0.9994
Chr2A	293418889	298305444	Chr2A	287744460	292728336	7	0.9997142857142858
Chr2A	301588230	304709700	Chr2A	296077068	299244624	4	1.0
Chr2A	308032393	310989480	Chr2A	302574701	305522781	6	0.9995000000000002
Chr2A	313973952	319393694	Chr2A	308561079	314284209	7	0.9991428571428572
Chr2A	322290657	328918706	Chr2A	317238863	323973551	12	0.9999166666666668
Chr2A	333879690	337102101	Chr2A	333904506	337138732	7	1.0
Chr2A	344692562	349136185	Chr2A	343342519	348583861	5	1.0
Chr2A	351275250	366697851	Chr2A	350855514	365187227	26	0.9983846153846152
Chr2A	368718225	370743262	Chr2A	367265377	369288748	8	0.999625
Chr2A	373163155	399870506	Chr2A	371718954	398913276	92	0.9982934782608696
Chr2A	404353227	404860525	Chr2A	403760648	404283578	4	1.0
Chr2A	409607272	490304153	Chr2A	408902159	490173133	278	0.9986258992805755
Chr2A	492634434	551591979	Chr2A	492540624	551435781	314	0.996028662420382
Chr2A	553651491	555169071	Chr2A	553560374	555075873	11	1.0
Chr2A	569032663	573768319	Chr2A	569235132	573968994	38	0.995894736842105
Chr2A	587823778	762745869	Chr2A	587587075	765341883	1936	0.9967990702479338
Chr2A	765370714	769659268	Chr2A	767928940	771916002	51	0.9675098039215686
Chr2A	776687505	781305882	Chr2A	778144355	782552833	75	0.9819866666666665
Chr2A	786650072	787195035	Chr2A	791387527	792457795	3	0.948
