gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	127643	132967	+	130305	1.0	0.99	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	138176	142352	-	140264	0.958	0.932	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	194137	194619	-	194378	1.0	0.977	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	271742	276845	+	274293	0.982	0.962	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	290769	292480	+	291624	1.0	0.992	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	295768	300489	-	298128	0.983	0.98	rearrangement:Chr2B_block1
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	412323	413473	-	412898	0.998	0.994	rearrangement:Chr2B_block1
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	418721	422106	+	420413	0.999	0.977	rearrangement:Chr2B_block1
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	427760	428605	+	428182	0.995	0.915	rearrangement:Chr2B_block1
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	499995	502372	+	501183	0.975	0.963	rearrangement:Chr2B_block1
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	503140	506731	-	504935	0.986	0.916	rearrangement:Chr2B_block1
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	542434	544439	+	543436	1.0	0.971	rearrangement:Chr2B_block1
gene:TraesCS2B03G0024700	Chr2B	6821447	6822965	-	6822206	Chr2B	9633944	9635462	+	9634703	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0024800	Chr2B	6835359	6837114	+	6836236	Chr2B	9662119	9663874	-	9662996	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0025100	Chr2B	6863809	6865292	-	6864550	Chr2B	9676347	9677830	+	9677088	1.0	0.999	rearrangement:Chr2B_block2
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	9615406	9616929	-	9616167	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0025500	Chr2B	6886209	6888033	+	6887121	Chr2B	9611479	9613303	-	9612391	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0025600	Chr2B	6894552	6896489	-	6895520	Chr2B	9603022	9604959	+	9603990	1.0	0.998	rearrangement:Chr2B_block2
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	9595750	9600948	+	9598349	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026100	Chr2B	7188185	7188382	-	7188283	Chr2B	9292458	9292655	+	9292556	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026200	Chr2B	7202008	7208867	-	7205437	Chr2B	9271973	9278832	+	9275402	1.0	0.999	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026300	Chr2B	7231414	7238036	-	7234725	Chr2B	9243279	9249901	+	9246590	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026600	Chr2B	7342466	7343956	+	7343211	Chr2B	9183391	9184881	-	9184136	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026500	Chr2B	7342428	7347675	-	7345051	Chr2B	9179672	9184919	+	9182295	1.0	0.999	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026800	Chr2B	7368058	7373714	+	7370886	Chr2B	9153440	9159096	-	9156268	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0026900	Chr2B	7374744	7376852	-	7375798	Chr2B	9150302	9152410	+	9151356	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0027000	Chr2B	7384257	7389466	+	7386861	Chr2B	9137688	9142897	-	9140292	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0027200	Chr2B	7418327	7421421	+	7419874	Chr2B	9105762	9108856	-	9107309	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	9100064	9103949	+	9102006	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B03G0027400	Chr2B	7430644	7430993	-	7430818	Chr2B	9096190	9096539	+	9096364	1.0	1.0	rearrangement:Chr2B_block2
