gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	9640	17277	+	13458	1.0	0.999	collinear
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	18818	22256	-	20537	1.0	1.0	collinear
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	32935	33480	-	33207	1.0	1.0	collinear
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	232195	236536	+	234365	0.999	0.996	collinear
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	253787	255187	+	254487	1.0	0.999	collinear
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	257335	263253	-	260294	1.0	1.0	collinear
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	307874	309006	-	308440	1.0	1.0	collinear
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	322371	325840	+	324105	1.0	1.0	collinear
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	332411	334967	+	333689	1.0	1.0	collinear
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	397559	416031	+	406795	1.0	1.0	collinear
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	443998	444918	+	444458	1.0	1.0	collinear
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	450052	451893	+	450972	1.0	1.0	collinear
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	610963	614170	+	612566	1.0	1.0	collinear
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	614867	618734	-	616800	1.0	1.0	collinear
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	620860	623026	+	621943	1.0	1.0	collinear
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1553867	1557638	-	1555752	1.0	1.0	collinear
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1612977	1615361	+	1614169	1.0	1.0	collinear
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1626423	1634532	+	1630477	1.0	0.999	collinear
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1645704	1646603	+	1646153	1.0	1.0	collinear
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1661266	1661859	+	1661562	1.0	1.0	collinear
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1683318	1683917	+	1683617	1.0	1.0	collinear
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	1955952	1966288	-	1961120	1.0	1.0	collinear
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2001489	2005794	-	2003641	1.0	1.0	collinear
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2038314	2040454	+	2039384	1.0	0.994	collinear
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2060825	2062381	+	2061603	1.0	1.0	collinear
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2091950	2095359	+	2093654	1.0	1.0	collinear
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2169941	2170237	+	2170089	1.0	1.0	collinear
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2191978	2199312	-	2195645	1.0	1.0	collinear
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	2251811	2252110	+	2251960	1.0	1.0	collinear
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	2276369	2276760	+	2276564	1.0	1.0	collinear
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	2291024	2291713	+	2291368	1.0	1.0	collinear
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	2310426	2316446	+	2313436	1.0	1.0	collinear
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	2360074	2366305	-	2363189	1.0	1.0	collinear
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	2378970	2382954	+	2380962	1.0	1.0	collinear
gene:TraesCS2D03G0007000	Chr2D	2476849	2478615	+	2477732	Chr2D	2394191	2395957	+	2395074	1.0	1.0	collinear
gene:TraesCS2D03G0007200	Chr2D	2481500	2482253	+	2481876	Chr2D	2398842	2399595	+	2399218	1.0	1.0	collinear
gene:TraesCS2D03G0007300	Chr2D	2551630	2555070	-	2553350	Chr2D	2472514	2475954	-	2474234	1.0	1.0	collinear
gene:TraesCS2D03G0007400	Chr2D	2560214	2564364	-	2562289	Chr2D	2481098	2485248	-	2483173	1.0	1.0	collinear
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	2502436	2507176	-	2504806	1.0	1.0	collinear
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	2507302	2512962	+	2510132	1.0	1.0	collinear
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	2524162	2528018	+	2526090	1.0	1.0	collinear
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	2542739	2544280	-	2543509	1.0	1.0	collinear
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	2548703	2549103	-	2548903	1.0	1.0	collinear
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	2571053	2576919	-	2573986	1.0	1.0	collinear
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	2580404	2583951	+	2582177	1.0	1.0	collinear
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	2646810	2647670	+	2647240	1.0	1.0	collinear
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	2674656	2684911	+	2679783	1.0	0.999	collinear
gene:TraesCS2D03G0008800	Chr2D	2786355	2790275	-	2788315	Chr2D	2711139	2715059	-	2713099	1.0	0.994	collinear
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	2727155	2731500	-	2729327	1.0	1.0	collinear
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	2784854	2794532	+	2789693	1.0	1.0	collinear
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	2843547	2845660	+	2844603	1.0	1.0	collinear
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	2848963	2852527	+	2850745	1.0	1.0	collinear
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	2929219	2931282	-	2930250	1.0	0.999	collinear
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	2944993	2949393	+	2947193	1.0	0.999	collinear
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	2957261	2958832	-	2958046	1.0	1.0	collinear
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	2963105	2964792	+	2963948	1.0	1.0	collinear
gene:TraesCS2D03G0010700	Chr2D	3037721	3039448	+	3038584	Chr2D	2985045	2986772	+	2985908	1.0	1.0	collinear
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	2988442	2988636	+	2988539	1.0	1.0	collinear
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	3001347	3002867	-	3002107	1.0	1.0	collinear
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	3014760	3015203	-	3014981	1.0	1.0	collinear
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	3066768	3067475	+	3067121	1.0	1.0	collinear
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	3074315	3074707	+	3074511	1.0	1.0	collinear
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	3077977	3081826	-	3079901	1.0	1.0	collinear
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	3095382	3097444	-	3096413	1.0	1.0	collinear
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	3139168	3142469	+	3140818	1.0	1.0	collinear
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	3142583	3146844	-	3144713	1.0	1.0	collinear
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	3178239	3181398	+	3179818	1.0	1.0	collinear
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	3314990	3316851	-	3315920	1.0	1.0	collinear
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	3871969	3882481	+	3877225	1.0	1.0	collinear
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	4090352	4094699	-	4092525	1.0	0.999	collinear
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	4147935	4152278	-	4150106	1.0	1.0	collinear
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	4153544	4155561	+	4154552	1.0	1.0	collinear
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	4161232	4165967	+	4163599	1.0	1.0	collinear
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	4225383	4227117	-	4226250	1.0	0.999	collinear
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	4232685	4236261	-	4234473	1.0	1.0	collinear
gene:TraesCS2D03G0014300	Chr2D	4328200	4329737	+	4328968	Chr2D	4309727	4311264	+	4310495	1.0	1.0	collinear
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	4474292	4476314	+	4475303	1.0	1.0	collinear
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	4544266	4546572	-	4545419	1.0	1.0	collinear
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	4547187	4551817	-	4549502	1.0	1.0	collinear
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	4621603	4622993	-	4622298	1.0	0.998	collinear
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	4696512	4696775	-	4696643	1.0	1.0	collinear
gene:TraesCS2D03G0016200	Chr2D	4823399	4823803	-	4823601	Chr2D	4710401	4710805	-	4710603	1.0	1.0	collinear
gene:TraesCS2D03G0016100	Chr2D	4823061	4829071	-	4826066	Chr2D	4710063	4715993	-	4713028	1.0	0.999	collinear
gene:TraesCS2D03G0016500	Chr2D	4911154	4954649	+	4932901	Chr2D	4771858	4814360	+	4793109	1.0	1.0	collinear
gene:TraesCS2D03G0016700	Chr2D	5299121	5301121	+	5300121	Chr2D	5098238	5100238	+	5099238	1.0	1.0	collinear
gene:TraesCS2D03G0016800	Chr2D	5306442	5309418	-	5307930	Chr2D	5105559	5108553	-	5107056	1.0	0.995	collinear
gene:TraesCS2D03G0017000	Chr2D	5317537	5320348	-	5318942	Chr2D	5116671	5119482	-	5118076	1.0	1.0	collinear
gene:TraesCS2D03G0017100	Chr2D	5336121	5337314	+	5336717	Chr2D	5135475	5136668	+	5136071	1.0	1.0	collinear
gene:TraesCS2D03G0017200	Chr2D	5338281	5338646	-	5338463	Chr2D	5137635	5138000	-	5137817	1.0	1.0	collinear
gene:TraesCS2D03G0017700	Chr2D	5370754	5371234	-	5370994	Chr2D	5170144	5170624	-	5170384	1.0	1.0	collinear
gene:TraesCS2D03G0017800	Chr2D	5378053	5383627	+	5380840	Chr2D	5177443	5183017	+	5180230	1.0	1.0	collinear
gene:TraesCS2D03G0017900	Chr2D	5384334	5386356	-	5385345	Chr2D	5183725	5185747	-	5184736	1.0	1.0	collinear
gene:TraesCS2D03G0018000	Chr2D	5393682	5394353	+	5394017	Chr2D	5193059	5193730	+	5193394	1.0	1.0	collinear
gene:TraesCS2D03G0018200	Chr2D	5395959	5397491	-	5396725	Chr2D	5195336	5196868	-	5196102	1.0	1.0	collinear
gene:TraesCS2D03G0018300	Chr2D	5398923	5403947	-	5401435	Chr2D	5198300	5203332	-	5200816	1.0	1.0	collinear
gene:TraesCS2D03G0018400	Chr2D	5409881	5411556	-	5410718	Chr2D	5209266	5210941	-	5210103	1.0	1.0	collinear
gene:TraesCS2D03G0018600	Chr2D	5448384	5451246	+	5449815	Chr2D	5248518	5251380	+	5249949	1.0	1.0	collinear
gene:TraesCS2D03G0018700	Chr2D	5451607	5454771	-	5453189	Chr2D	5251741	5254905	-	5253323	1.0	1.0	collinear
gene:TraesCS2D03G0019000	Chr2D	5498066	5508787	-	5503426	Chr2D	5298278	5309613	-	5303945	1.0	1.0	collinear
gene:TraesCS2D03G0019100	Chr2D	5512669	5527505	-	5520087	Chr2D	5313494	5328329	-	5320911	1.0	1.0	collinear
gene:TraesCS2D03G0019200	Chr2D	5533600	5534335	+	5533967	Chr2D	5334424	5335159	+	5334791	1.0	1.0	collinear
gene:TraesCS2D03G0019300	Chr2D	5538783	5542500	+	5540641	Chr2D	5339607	5343324	+	5341465	1.0	1.0	collinear
gene:TraesCS2D03G0019400	Chr2D	5543921	5547104	-	5545512	Chr2D	5344745	5347928	-	5346336	1.0	1.0	collinear
gene:TraesCS2D03G0019500	Chr2D	5606740	5610279	+	5608509	Chr2D	5407580	5411119	+	5409349	1.0	1.0	collinear
