cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	425527	53616684	561	0.9966363636363638
Chr4A	56443789	78736365	Chr4A	55357134	80914672	167	0.993814371257485
Chr4A	82225329	130332624	Chr4A	83866955	132386356	276	0.9954492753623188
Chr4A	132517055	192330869	Chr4A	134457543	194176511	259	0.9985328185328185
Chr4A	194997349	219652885	Chr4A	196895312	221968429	44	0.9993636363636363
Chr4A	221731546	222175913	Chr4A	224072790	224535779	3	1.0
Chr4A	224910983	226677182	Chr4A	227341917	229021917	4	1.0
Chr4A	229114346	242431315	Chr4A	231453317	244904215	21	0.9994285714285714
Chr4A	330781060	333487928	Chr4A	338207710	340958133	3	0.999
Chr4A	337968373	349413639	Chr4A	345470364	356841851	21	0.999904761904762
Chr4A	351426691	353020297	Chr4A	358996476	360624942	4	1.0
Chr4A	355676988	358739297	Chr4A	363310103	366368787	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	368862735	372426014	5	0.9892
Chr4A	372955440	386206032	Chr4A	380770461	394080606	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	396046759	397693845	3	1.0
Chr4A	394095303	397542408	Chr4A	401883002	405419189	6	1.0
Chr4A	399782828	400323386	Chr4A	407687400	408255371	3	0.999
Chr4A	406605144	419576751	Chr4A	414600707	427670538	17	0.9996470588235294
Chr4A	421807811	507495678	Chr4A	429969516	516067471	414	0.9971473429951692
Chr4A	509609425	706636283	Chr4A	518201190	714797556	2033	0.9977284800787014
Chr4A	709395037	735327261	Chr4A	715056018	739007127	236	0.9910169491525423
