gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1070253	1073986	+	1072119	0.999	0.975
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	1106598	1110358	-	1108478	0.964	0.917
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1245588	1248337	-	1246962	1.0	0.958
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1295331	1301325	+	1298328	0.954	0.905
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1401983	1405055	+	1403519	1.0	0.991
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1480596	1483882	+	1482239	1.0	0.996
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1513728	1516031	+	1514879	0.998	0.972
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1565429	1567398	+	1566413	1.0	0.984
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1645942	1649141	-	1647541	1.0	0.989
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2193576	2193932	+	2193754	0.991	0.991
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2210284	2210710	+	2210497	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2220947	2221868	+	2221407	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2379645	2380131	-	2379888	1.0	0.993
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2522981	2524838	+	2523909	1.0	0.99
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2540590	2541067	+	2540828	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2547020	2547622	+	2547321	1.0	0.993
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2727914	2728596	+	2728255	0.966	0.927
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2745809	2748052	-	2746930	1.0	0.954
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2762529	2763271	+	2762900	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2769329	2772785	+	2771057	1.0	0.994
gene:TraesCS3A03G0008500	Chr3A	2013683	2017892	-	2015787	Chr3A	2774138	2778301	-	2776219	0.977	0.966
gene:TraesCS3A03G0013800	Chr3A	6965742	6973314	-	6969528	Chr3A	2881266	2885706	-	2883486	0.934	0.912
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	2994438	2995163	-	2994800	0.983	0.967
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	3011483	3012112	+	3011797	1.0	0.984
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	3026402	3027668	-	3027035	1.0	0.99
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	3077198	3077967	-	3077582	0.994	0.976
