cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	255993	144673117	1426	0.9986058906030857
Chr4D	143579930	155648423	Chr4D	147334581	159318905	16	0.9999375
Chr4D	163412513	183387226	Chr4D	167077019	187605696	26	1.0
Chr4D	188710899	192736636	Chr4D	193520976	197515357	6	1.0
Chr4D	195017915	198583229	Chr4D	199778260	203315304	7	1.0
Chr4D	201443437	212157624	Chr4D	206624223	218022534	28	0.9995357142857142
Chr4D	214312396	228145178	Chr4D	220160688	233931184	23	1.0
Chr4D	230482531	238626311	Chr4D	236093490	244406859	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	246697096	255539276	19	1.0
Chr4D	251524682	256552996	Chr4D	258109774	263104343	7	0.9951428571428572
Chr4D	258897131	261254698	Chr4D	265427665	267811820	6	1.0
Chr4D	263946972	268074619	Chr4D	270490419	274579415	7	1.0
Chr4D	270654719	329311457	Chr4D	277152750	335958382	243	0.999432098765432
Chr4D	331638064	375735889	Chr4D	338263119	382329238	303	0.9997590759075908
Chr4D	377828182	410407878	Chr4D	384451074	420204497	238	0.9996848739495798
Chr4D	412715801	509853899	Chr4D	422987639	523319115	1156	0.9981219723183392
Chr4D	505725578	507006408	Chr4D	525546957	526891729	19	0.9865789473684211
